종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"092220","KEC","KOSPI",,"1670","-17","-1.01","1681","1730","1660","5063813","8580169833","335274445470","200763141"
"151860","KG ETS","KOSDAQ","우량기업부","10830","-170","-1.55","11020","11100","10800","179350","1958807440","389880000000","36000000"
"046440","KG모빌리언스","KOSDAQ","우량기업부","5470","-20","-0.36","5450","5490","5410","55787","304247790","212375856960","38825568"
"003620","KG모빌리티","KOSPI",,"7890","-140","-1.74","8020","8100","7880","330535","2626019010","1475083029360","186956024"
"016380","KG스틸","KOSPI",,"7760","-10","-0.13","7780","7820","7640","406360","3132308870","776069040720","100008897"
"035600","KG이니시스","KOSDAQ","우량기업부","12500","110","0.89","12390","12520","12200","130390","1617404390","348805425000","27904434"
"001390","KG케미칼","KOSPI",,"6250","-150","-2.34","6400","6410","6240","322739","2032120640","427931500000","68469040"
"226360","KH 건설","KOSDAQ","투자주의환기종목(소속부없음)","319","0","0.00","0","0","0","0","0","56306639598","176509842"
"111870","KH 전자","KOSDAQ","관리종목(소속부없음)","2970","0","0.00","0","0","0","0","0","36424038420","12263986"
"033180","KH 필룩스","KOSPI",,"1326","0","0.00","0","0","0","0","0","113141334540","85325290"
"060720","KH바텍","KOSDAQ","중견기업부","13870","-50","-0.36","13930","14060","13790","107120","1487258930","328406120540","23677442"
"015590","KIB플러그에너지","KOSPI",,"741","1","0.14","721","760","721","1850374","1367671389","175566274104","236931544"
"001940","KISCO홀딩스","KOSPI",,"26950","450","1.70","26350","27350","26200","28201","760321650","435953441000","16176380"
"058400","KNN","KOSDAQ","우량기업부","1093","-23","-2.06","1110","1116","1080","632035","691610459","144745683960","132429720"
"025000","KPX케미칼","KOSPI",,"42850","-50","-0.12","42900","42950","42800","2300","98565300","207394000000","4840000"
"092230","KPX홀딩스","KOSPI",,"51200","-100","-0.19","51500","51500","51100","749","38354300","216301875200","4224646"
"000040","KR모터스","KOSPI",,"350","-6","-1.69","354","356","348","272920","95927631","33648462750","96138465"
"044450","KSS해운","KOSPI",,"9830","130","1.34","9970","10450","9590","3042217","30467624990","226934200400","23085880"
"030200","KT","KOSPI",,"33550","0","0.00","33600","33650","33400","266059","8916036400","8651228498000","257860760"
"033780","KT&G","KOSPI",,"87500","100","0.11","87500","87900","86900","199009","17409901100","11709468487500","133822497"
"058850","KTcs","KOSPI",,"3780","-20","-0.53","3850","3850","3700","856278","3224122125","161349300000","42685000"
"058860","KTis","KOSPI",,"3080","-20","-0.65","3100","3140","3070","180588","559900080","107190160000","34802000"
"122450","KX","KOSDAQ","중견기업부","4920","-40","-0.81","4910","4960","4875","32942","161568030","223052942880","45335964"
"052900","KX하이텍","KOSDAQ","우량기업부","1237","-5","-0.40","1252","1260","1235","83724","104255874","68167998529","55107517"
"376190","LB루셈","KOSDAQ","중견기업부","6570","-40","-0.61","6530","6690","6530","6642","43688610","161622000000","24600000"
"061970","LB세미콘","KOSDAQ","우량기업부","7140","-40","-0.56","7210","7220","7040","110732","788527270","312621986880","43784592"
"309960","LB인베스트먼트","KOSDAQ","중견기업부","5150","465","9.93","4745","5770","4710","6662792","36196932805","119568780850","23217239"
"093050","LF","KOSPI",,"12840","-140","-1.08","12980","12980","12820","19741","254076950","375441600000","29240000"
"003550","LG","KOSPI",,"77000","700","0.92","76400","77500","76400","146966","11313264800","12112176461000","157300993"
"034220","LG디스플레이","KOSPI",,"13150","-110","-0.83","13270","13400","13090","784041","10411383610","4705276455000","357815700"
"051900","LG생활건강","KOSPI",,"317500","-7500","-2.31","325500","326000","317000","47090","15095461000","4958777547500","15618197"
"051905","LG생활건강우","KOSPI",,"142700","-800","-0.56","144200","144200","142500","1425","204203800","299626761900","2099697"
"373220","LG에너지솔루션","KOSPI",,"399500","-13500","-3.27","409000","409500","397000","282693","113248929000","93483000000000","234000000"
"003555","LG우","KOSPI",,"58700","0","0.00","58700","59000","58300","8381","491143200","177369094000","3021620"
"032640","LG유플러스","KOSPI",,"10010","30","0.30","9980","10060","9960","615254","6154445360","4370479723610","436611361"
"011070","LG이노텍","KOSPI",,"220000","-500","-0.23","221000","223000","218000","67758","14922517000","5206763540000","23667107"
"066570","LG전자","KOSPI",,"95100","400","0.42","95300","95600","94900","286538","27292341900","15562907111400","163647814"
"066575","LG전자우","KOSPI",,"43500","-450","-1.02","43900","43950","43500","37331","1629722600","747590652000","17185992"
"037560","LG헬로비전","KOSPI",,"4445","1025","29.97","3490","4445","3490","17448648","71981279275","344251314925","77446865"
"051910","LG화학","KOSPI",,"438500","-10500","-2.34","445000","447500","435000","263944","115851498000","30954742405500","70592343"
"051915","LG화학우","KOSPI",,"293000","-4500","-1.51","295000","296000","290000","29554","8630732000","2252818400000","7688800"
"079550","LIG넥스원","KOSPI",,"122600","-3500","-2.78","128000","128900","120500","266503","32871972900","2697200000000","22000000"
"006260","LS","KOSPI",,"80100","-1800","-2.20","81500","81900","79600","143359","11518034600","2579220000000","32200000"
"010120","LS ELECTRIC","KOSPI",,"67500","-1300","-1.89","68700","69200","67300","155734","10551341400","2025000000000","30000000"
"000680","LS네트웍스","KOSPI",,"4175","-25","-0.60","4200","4225","4130","123923","514993765","329002591800","78803016"
"060370","LS마린솔루션","KOSDAQ","중견기업부","9880","-130","-1.30","10010","10050","9820","98027","970187260","256269732160","25938232"
"417200","LS머트리얼즈","KOSDAQ","중견기업부","46000","1350","3.02","45500","47750","44350","6551732","301362331000","3112022314000","67652659"
"229640","LS에코에너지","KOSPI",,"20000","-500","-2.44","20150","20500","19910","673845","13541470840","612497580000","30624879"
"108320","LX세미콘","KOSPI",,"80700","100","0.12","80300","81100","80300","58026","4673437800","1312529010000","16264300"
"001120","LX인터내셔널","KOSPI",,"26650","150","0.57","26500","26750","26450","77642","2066682900","1032954000000","38760000"
"108670","LX하우시스","KOSPI",,"39650","50","0.13","39950","40000","39450","7636","303351200","355568115500","8967670"
"108675","LX하우시스우","KOSPI",,"19900","-20","-0.10","19920","19970","19830","1263","25099390","20543367000","1032330"
"383800","LX홀딩스","KOSPI",,"6820","-10","-0.15","6820","6840","6810","34331","234376780","520234305800","76280690"
"38380K","LX홀딩스1우","KOSPI",,"9300","-90","-0.96","9430","9450","9300","4258","39948400","13627150500","1465285"
"086960","MDS테크","KOSDAQ","중견기업부","1790","-23","-1.27","1833","1845","1780","1789105","3234142226","156765579440","87578536"
"023150","MH에탄올","KOSPI",,"6870","-70","-1.01","6910","6940","6860","7059","48652120","50690473620","7378526"
"038340","MIT","KOSDAQ","투자주의환기종목(소속부없음)","1283","0","0.00","0","0","0","0","0","33979354334","26484298"
"035420","NAVER","KOSPI",,"229500","-1000","-0.43","230000","230500","223500","535318","121930484500","37272772323000","162408594"
"160550","NEW","KOSDAQ","중견기업부","4545","-50","-1.09","4595","4635","4535","72169","330262565","126833251770","27906106"
"053290","NE능률","KOSDAQ","우량기업부","5370","40","0.75","5330","5490","5300","105584","568152450","88746268590","16526307"
"181710","NHN","KOSPI",,"21100","-1800","-7.86","22750","22750","20550","441613","9394161550","737163990200","34936682"
"060250","NHN KCP","KOSDAQ GLOBAL","우량기업부","12160","100","0.83","12060","12650","11660","3049421","37383235780","488353029760","40160611"
"104200","NHN벅스","KOSDAQ","중견기업부","4520","-145","-3.11","4695","4750","4505","115079","527135130","67020526000","14827550"
"400760","NH올원리츠","KOSPI",,"3310","-5","-0.15","3315","3315","3290","25518","84145700","139682000000","42200000"
"005940","NH투자증권","KOSPI",,"9910","0","0.00","9920","9980","9910","180375","1792086150","3286809277110","331665921"
"005945","NH투자증권우","KOSPI",,"9680","-10","-0.10","9690","9700","9670","17425","168736860","182670970240","18870968"
"338100","NH프라임리츠","KOSPI",,"4020","-5","-0.12","4030","4030","4000","13216","52981080","75013200000","18660000"
"034310","NICE","KOSPI",,"12400","40","0.32","12360","12400","12210","6699","82189450","465043114800","37503477"
"030190","NICE평가정보","KOSPI",,"9740","280","2.96","9520","9790","9450","123843","1196910120","585448705800","60107670"
"008260","NI스틸","KOSPI",,"5670","-140","-2.41","5850","5850","5640","105206","602770760","162162663390","28600117"
"004250","NPC","KOSPI",,"5510","-90","-1.61","5620","5670","5510","64608","359452880","202327200000","36720000"
"004255","NPC우","KOSPI",,"2960","-10","-0.34","2980","2980","2945","7574","22407535","15628800000","5280000"
"456040","OCI","KOSPI",,"101500","-2900","-2.78","106100","107500","101000","40494","4169498800","754827993500","7436729"
"010060","OCI홀딩스","KOSPI",,"104600","-4400","-4.04","114700","114800","100400","642060","67624069800","2072409989000","19812715"
"178920","PI첨단소재","KOSPI",,"27150","-500","-1.81","27650","27950","26750","87096","2375091200","797295642300","29366322"
"024940","PN풍년","KOSDAQ","벤처기업부","7950","-330","-3.99","8140","8200","7850","73365","589526750","79500000000","10000000"
"005490","POSCO홀딩스","KOSPI",,"442000","-6500","-1.45","442500","446500","439500","412822","182535970500","37380483660000","84571230"
"218410","RFHIC","KOSDAQ","우량기업부","18810","790","4.38","18060","19170","18060","376339","7044360500","498172354020","26484442"
"327260","RF머트리얼즈","KOSDAQ","벤처기업부","10780","220","2.08","10560","10970","10470","29711","319289680","90910230180","8433231"
"091340","S&K폴리텍","KOSDAQ","중견기업부","2805","-90","-3.11","2890","2920","2725","16696","47607685","32828937405","11703721"
"010950","S-Oil","KOSPI",,"66500","300","0.45","66900","67800","66200","200500","13406984100","7486755668000","112582792"
"010955","S-Oil우","KOSPI",,"48350","100","0.21","48400","48500","48250","6060","292870750","194460170450","4021927"
"419530","SAMG엔터","KOSDAQ","기술성장기업부","19800","-50","-0.25","19850","20100","19760","83183","1656452760","170100414000","8590930"
"019550","SBI인베스트먼트","KOSDAQ","중견기업부","900","5","0.56","861","900","860","974481","858939568","145859917500","162066575"
"950110","SBI핀테크솔루션즈","KOSDAQ","외국기업(소속부없음)","4460","-35","-0.78","4500","4500","4450","4786","21378765","107274328400","24052540"
"034120","SBS","KOSPI",,"26500","-900","-3.28","27550","28100","26350","307891","8284731650","491607807000","18551238"
"151910","SBW생명과학","KOSDAQ","투자주의환기종목(소속부없음)","334","-8","-2.34","341","342","330","427641","142435061","62915928028","188371042"
"036120","SCI평가정보","KOSDAQ","중견기업부","3655","20","0.55","3630","3685","3600","345008","1258481830","129752500000","35500000"
"099220","SDN","KOSDAQ","중견기업부","1307","22","1.71","1285","1307","1275","312832","406526252","73416556977","56171811"
"036540","SFA반도체","KOSDAQ","우량기업부","6200","30","0.49","6110","6290","6100","2066233","12813428790","1019653878600","164460303"
"255220","SG","KOSDAQ","중견기업부","1690","-71","-4.03","1755","1760","1690","226877","389003395","82669336230","48916767"
"040610","SG&G","KOSDAQ","중견기업부","1667","50","3.09","1631","1698","1631","411130","687579674","56823355732","34087196"
"049470","SGA","KOSDAQ","중견기업부","602","1","0.17","605","609","591","37677","22563702","35435073898","58862249"
"184230","SGA솔루션즈","KOSDAQ","벤처기업부","826","-7","-0.84","808","833","802","180043","146573914","44758647024","54187224"
"005090","SGC에너지","KOSPI",,"25100","50","0.20","24950","25200","24700","26425","658396850","361674258300","14409333"
"016250","SGC이테크건설","KOSDAQ","우량기업부","18560","-100","-0.54","18790","18790","18400","981","18196010","60200937600","3243585"
"001380","SG글로벌","KOSPI",,"1477","-8","-0.54","1485","1495","1472","64133","94800192","66412039211","44964143"
"004060","SG세계물산","KOSPI",,"458","-3","-0.65","464","465","455","906481","416906596","92710631680","202424960"
"001770","SHD","KOSPI",,"22650","100","0.44","22550","23150","22300","4329","98394700","27516986700","1214878"
"002360","SH에너지화학","KOSPI",,"770","106","15.96","681","843","658","86249035","66894768962","85572972100","111133730"
"009160","SIMPAC","KOSPI",,"3915","-40","-1.01","3955","3955","3835","121269","470736385","256156555140","65429516"
"123700","SJM","KOSPI",,"3560","-5","-0.14","3560","3605","3550","51559","184109645","55553436880","15604898"
"025530","SJM홀딩스","KOSPI",,"3620","-15","-0.41","3620","3650","3560","30242","108860435","54061108960","14934008"
"034730","SK","KOSPI",,"161500","-1900","-1.16","164000","164000","160500","81915","13246757800","11821530133500","73198329"
"011790","SKC","KOSPI",,"81600","-1000","-1.21","82200","83500","80900","151830","12421982000","3090053116800","37868298"
"018670","SK가스","KOSPI",,"150800","1100","0.73","149400","151400","148200","5385","809315600","1391920795200","9230244"
"001740","SK네트웍스","KOSPI",,"5480","220","4.18","5300","5580","5290","891822","4911517400","1292064892200","235778265"
"006120","SK디스커버리","KOSPI",,"38150","-350","-0.91","38400","38750","38000","15619","597854350","726294168250","19037855"
"006125","SK디스커버리우","KOSPI",,"30250","-150","-0.49","30400","30450","29750","1754","52922500","41093263750","1358455"
"210980","SK디앤디","KOSPI",,"30050","-850","-2.75","30800","31150","29750","210857","6394821300","666814428200","22190164"
"068400","SK렌터카","KOSPI",,"9600","0","0.00","0","0","0","0","0","444706003200","46323542"
"395400","SK리츠","KOSPI",,"3900","10","0.26","3905","3910","3875","230919","898265100","1053517448100","270132679"
"302440","SK바이오사이언스","KOSPI",,"65800","-1000","-1.50","66600","67000","65500","90376","5966821200","5055265950000","76827750"
"326030","SK바이오팜","KOSPI",,"94700","-1200","-1.25","95700","96400","94200","84003","7997509900","7416264775000","78313250"
"402340","SK스퀘어","KOSPI",,"48750","300","0.62","48750","49100","48050","116554","5681819150","6775325505000","138981036"
"260870","SK시그넷","KONEX","일반기업부","28500","50","0.18","28450","29050","28300","5148","147606750","174212235000","6112710"
"361610","SK아이이테크놀로지","KOSPI",,"80100","-1900","-2.32","81100","82500","79700","123595","9974439900","5710937119200","71297592"
"100090","SK오션플랜트","KOSPI",,"19100","-550","-2.80","19710","19760","18940","208829","4005050300","1130635348800","59195568"
"03473K","SK우","KOSPI",,"132400","-1000","-0.75","132400","133400","131800","466","61679300","74956274000","566135"
"096770","SK이노베이션","KOSPI",,"123400","-1200","-0.96","124900","125700","122500","309256","38248016018","12420896597600","100655564"
"096775","SK이노베이션우","KOSPI",,"86200","-1100","-1.26","87500","88000","85900","3303","285411200","107614321200","1248426"
"001510","SK증권","KOSPI",,"620","-7","-1.12","628","628","619","1047369","652297339","293005906020","472590171"
"001515","SK증권우","KOSPI",,"2520","-105","-4.00","2530","2530","2440","14243","35297915","9859535280","3912514"
"285130","SK케미칼","KOSPI",,"66100","-400","-0.60","66000","67000","65800","22154","1467868100","1140475056300","17253783"
"28513K","SK케미칼우","KOSPI",,"30350","100","0.33","30250","30700","30150","3251","98732000","64203270150","2115429"
"017670","SK텔레콤","KOSPI",,"49350","-50","-0.10","49400","49500","49150","193535","9544826000","10799415656400","218833144"
"000660","SK하이닉스","KOSPI",,"134100","0","0.00","134800","135100","133300","1854151","248603644900","97625117146500","728002365"
"048550","SM C&C","KOSDAQ","중견기업부","1882","-28","-1.47","1910","1924","1860","267958","504908949","182001858840","96706620"
"063440","SM Life Design","KOSDAQ","중견기업부","1992","-28","-1.39","1988","2015","1985","210014","419817008","91690074768","46029154"
"003570","SNT다이내믹스","KOSPI",,"14630","-110","-0.75","14760","14980","14470","63750","931603280","486486957110","33252697"
"064960","SNT모티브","KOSPI",,"42950","400","0.94","42700","43050","42300","16699","715641800","628063691200","14623136"
"100840","SNT에너지","KOSPI",,"22450","150","0.67","22400","22550","22050","41364","923694900","168525661950","7506711"
"036530","SNT홀딩스","KOSPI",,"17440","170","0.98","17200","17500","17090","14231","247113570","284339771840","16303886"
"005610","SPC삼립","KOSPI",,"61500","-500","-0.81","62000","62000","61300","4571","281676500","530684053500","8629009"
"011810","STX","KOSPI",,"10930","-340","-3.02","11280","11350","10800","627815","6906565990","339025942110","31017927"
"465770","STX그린로지스","KOSPI",,"12910","180","1.41","13310","13530","12730","776866","10229653400","92578023120","7171032"
"077970","STX엔진","KOSPI",,"12120","250","2.11","11960","12180","11760","28600","342882280","278867916480","23008904"
"071970","STX중공업","KOSPI",,"12410","-360","-2.82","12770","12800","12350","172374","2153131770","354338622290","28552669"
"002820","SUN&L","KOSPI",,"2440","-75","-2.98","2490","2555","2440","13198","32934000","30763493160","12607989"
"289080","SV인베스트먼트","KOSDAQ","중견기업부","2150","-25","-1.15","2155","2195","2130","392239","847180865","114453100000","53234000"
"084870","TBH글로벌","KOSPI",,"1821","21","1.17","1762","1821","1762","28817","51582427","37980267399","20856819"
"002710","TCC스틸","KOSPI",,"51700","-1500","-2.82","52500","53000","51500","145960","7586023600","1355248134900","26213697"
"089230","THE E&M","KOSDAQ","중견기업부","210","3","1.45","207","211","204","514235","107024911","38988626460","185660126"
"161570","THE MIDONG","KOSDAQ","중견기업부","366","0","0.00","0","0","0","0","0","7721265564","21096354"
"032540","TJ미디어","KOSDAQ","중견기업부","5920","-130","-2.15","6030","6030","5870","48319","285768410","82475125280","13931609"
