,종목명,시가,고가,저가,종가,거래량,거래대금,BPS,PER,PBR,EPS,DIV,DPS
095570,AJ네트웍스,38550,38700,37650,37800,12822,487752550,23715.0,13.84,1.5948186801602362,2732.0,0.0,0.0
068400,AJ렌터카,10700,10950,10600,10850,254158,2726138900,9426.0,12.62,1.1511543868024612,860.0,0.0,0.0
006840,AK홀딩스,62700,62700,60100,61400,39201,2400673900,42221.0,11.07,1.4549433708936312,5549.0,0.57,350.0
027410,BGF리테일,189500,191500,184000,187000,48439,9014164500,22686.0,44.12,8.243046372211937,4238.0,0.32,600.0
138930,BNK금융지주,9570,9580,9360,9450,1179566,11132174150,19542.0,2.58,0.48335206302451134,3661.0,2.12,200.0
001460,BYC,479500,489000,476000,482000,918,440493000,434980.0,15.95,1.1083713978228884,30221.0,0.17,800.0
001465,BYC우,209000,209000,203000,208500,177,36299000,0.0,0.0,0.0,0.0,0.41,850.0
001040,CJ,212000,215500,211000,213500,70817,15149267500,108643.0,28.95,1.9654215814640612,7375.0,0.44,950.0
079160,CJ CGV,113500,114000,111500,113000,144357,16279925000,18048.0,143.6,6.2629030917553195,787.0,0.31,350.0
000120,CJ대한통운,193000,193000,190500,192500,25213,4825863500,98141.0,76.7,1.9613171355498722,2510.0,0.0,0.0
011150,CJ씨푸드,3590,3605,3540,3570,105059,375406095,1310.0,39.22,2.724355916030534,91.0,0.0,0.0
011155,CJ씨푸드1우,16950,16950,16300,16550,560,9182900,0.0,0.0,0.0,0.0,0.0,0.0
001045,CJ우,104000,104500,102500,104000,1736,179392000,0.0,0.0,0.0,0.0,0.96,1000.0
097950,CJ제일제당,368500,373000,367000,373000,23347,8680113000,206344.0,57.12,1.8077882080409413,6530.0,0.54,2000.0
097955,CJ제일제당 우,206500,208500,205500,207500,463,95783500,0.0,0.0,0.0,0.0,0.99,2050.0
037560,CJ헬로비전,12350,12400,12200,12250,88075,1083919600,11653.0,36.9,1.0514781601304386,332.0,0.61,75.0
000590,CS홀딩스,79600,79600,78000,78100,440,34571300,165649.0,12.18,0.47145564567247616,6412.0,0.0,0.0
139130,DGB금융지주,9300,9300,9170,9270,485074,4473562470,21797.0,5.41,0.42542587569390283,1714.0,3.45,320.0
004840,DRB동일,12950,13100,12850,13000,31451,408200300,14251.0,5.75,0.9122693144340748,2261.0,0.46,60.0
155660,DSR,4495,4495,4425,4465,80717,359757205,6948.0,10.56,0.643053756476684,423.0,0.67,30.0
069730,DSR제강,4160,4185,4100,4145,23750,97911445,7555.0,8.18,0.5489214510258107,507.0,0.72,30.0
017940,E1,62500,63400,62500,63200,1383,86773900,166331.0,8.91,0.3799577348780444,7096.0,3.16,2000.0
