,종목명,시가,고가,저가,종가,거래량,거래대금,BPS,PER,PBR,EPS,DIV,DPS
068400,AJ렌터카,6210,6340,6150,6340,71503,447418920,6883.0,7.07,0.9214107674705797,897.0,0.0,0.0
138930,BS금융지주,11450,11850,11350,11800,964923,11274963900,15281.0,5.57,0.7727938289378967,2120.0,2.97,350.0
001460,BYC,156000,159000,154000,159000,311,48567000,367590.0,3.7,0.4320736609571805,42935.0,0.53,850.0
001465,BYC우,66600,66700,64600,66300,282,18242700,0.0,0.0,0.0,0.0,1.36,900.0
001040,CJ,78200,78300,77100,78300,61595,4800207100,97949.0,5.96,0.8000943890442985,13147.0,0.83,650.0
079160,CJ CGV,26600,27000,26600,26850,33420,895926500,14832.0,29.97,1.8104099244875944,896.0,1.12,300.0
000120,CJ대한통운,89100,90800,88900,89000,29355,2630813700,96993.0,18.31,0.917201499077253,4858.0,0.0,0.0
011150,CJ씨푸드,2405,2420,2360,2370,128548,306337575,925.0,20.97,2.561587837837838,113.0,0.0,0.0
011155,CJ씨푸드1우,6200,6200,5720,5950,7230,42275300,0.0,0.0,0.0,0.0,0.0,0.0
001045,CJ우,19100,19100,18800,19100,790,14953500,0.0,0.0,0.0,0.0,3.66,700.0
097950,CJ제일제당,308000,313000,307000,312000,78845,24482698500,188796.0,14.28,1.6531199681137312,21854.0,0.58,1800.0
097955,CJ제일제당 우,64700,65000,64200,64900,691,44656000,0.0,0.0,0.0,0.0,2.85,1850.0
000590,CS홀딩스,31850,32450,31450,32200,588,18781600,141010.0,2.99,0.22808992934898234,10756.0,0.0,0.0
139130,DGB금융지주,13350,13550,13200,13550,120656,1624137300,17093.0,0.0,0.0,0.0,2.58,350.0
069730,DSR제강,3090,3170,3080,3150,17230,53871200,6957.0,4.81,0.45272803022135977,655.0,0.95,30.0
017940,E1,56100,57300,56100,56900,7843,446433900,148057.0,5.18,0.3844437340855211,10989.0,2.64,1500.0
007700,F&F,6360,6380,6100,6280,1300,8132700,10709.0,4.91,0.5864310247221963,1279.0,2.39,150.0
114090,GKL,23550,23600,23250,23300,200706,4683339650,3578.0,23.3,6.511144494130799,1000.0,2.2,512.0
078930,GS,62500,64700,62500,64500,712997,45736997100,63523.0,7.89,1.0149756289060656,8171.0,2.09,1350.0
006360,GS건설,73400,75500,73300,75500,285845,21317924000,73237.0,8.82,1.031286589258162,8563.0,1.32,1000.0
001250,GS글로벌,11650,12050,11650,11750,254640,3019537200,9969.0,0.0,0.0,0.0,1.06,125.0
007070,GS리테일,25150,25250,24900,25000,102083,2558537500,18574.0,20.61,1.3459228962528265,1213.0,1.2,300.0
078935,GS우,21200,21500,21200,21400,2210,47230000,0.0,0.0,0.0,0.0,6.54,1400.0
035000,GⅡR,6890,6990,6790,6850,9350,64037100,6553.0,14.73,1.044994897375248,465.0,2.92,200.0
001500,HMC투자증권,12500,12950,12500,12800,74743,955289600,22706.0,10.2,0.5639444144719458,1255.0,1.17,150.0
011420,IB스포츠,2085,2135,2015,2015,296053,611111410,1215.0,12.83,1.6576260288065843,157.0,0.0,0.0
003560,IHQ,2370,2425,2370,2415,163945,393313425,727.0,44.72,3.3216127922971115,54.0,0.0,0.0
005560,JS전선,8380,8380,8020,8150,31240,254638600,10389.0,0.0,0.0,0.0,0.0,0.0
001060,JW중외제약,12900,13150,12700,13150,34701,451115200,15761.0,0.0,0.0,0.0,1.52,200.0
001067,JW중외제약2우B,15950,15950,15950,15950,10,159500,0.0,0.0,0.0,0.0,1.25,200.0
001065,JW중외제약우,11000,11500,11000,11500,20,225000,0.0,0.0,0.0,0.0,1.96,225.0
096760,JW홀딩스,2510,2530,2490,2515,29085,72898515,2099.0,0.0,0.0,0.0,1.59,40.0
105560,KB금융,37500,37800,36800,37550,1156321,43132460300,59319.0,5.81,0.6326695362152093,6461.0,1.92,720.0
002380,KCC,297500,297500,284000,288000,34599,9964985000,474737.0,8.66,0.6063096514491182,33252.0,2.78,8000.0
009070,KCTC,15300,15650,15300,15650,640,9861500,48434.0,15.7,0.32324432475120785,997.0,1.28,200.0
009440,KC그린홀딩스,2100,2135,2095,2115,15630,32969135,5136.0,4.83,0.41174430490654207,438.0,2.36,50.0
119650,KC코트렐,15200,15500,15000,15000,22803,347209500,9804.0,8.8,1.5298522924316607,1705.0,2.8,420.0
092220,KEC,713,714,702,710,332490,235432730,1132.0,0.0,0.0,0.0,0.0,0.0
109070,KGP,880,896,870,871,35676,31345330,2893.0,0.0,0.0,0.0,0.0,0.0
001390,KG케미칼,8000,8090,8000,8050,9380,75443000,16246.0,17.27,0.49524690693093687,466.0,3.11,250.0
