,종목명,시가,고가,저가,종가,거래량,거래대금,BPS,PER,PBR,EPS,DIV,DPS
138930,BS금융지주,12650,12900,12650,12650,545645,6965872750,0.0,0.0,0.0,0.0,0.0,0.0
001460,BYC,174000,177500,170500,174500,170,29450000,337506.0,5.0,0.5165241506817656,34866.0,0.49,850.0
001465,BYC우,69100,69100,69100,69100,2,138200,0.0,0.0,0.0,0.0,1.3,900.0
001040,CJ,79700,80300,78200,79300,118525,9350677500,112408.0,13.67,0.7054380026332645,5800.0,1.01,800.0
079160,CJ CGV,26350,26950,26350,26950,37512,1004808200,4539.0,16.67,5.93928659947125,1617.0,0.93,250.0
011150,CJ씨푸드,2525,2690,2525,2595,596114,1553758080,839.0,18.16,3.0945694278903457,143.0,0.0,0.0
011155,CJ씨푸드1우,8050,8350,8050,8350,370,3085700,0.0,0.0,0.0,0.0,0.0,0.0
001045,CJ우,19000,19150,19000,19000,3440,65364000,0.0,0.0,0.0,0.0,4.47,850.0
097950,CJ제일제당,339500,340000,331500,334500,46726,15625160000,208403.0,6.64,1.6051663573700954,50375.0,1.2,4000.0
097955,CJ제일제당 우,68300,68300,67200,67900,382,25751200,0.0,0.0,0.0,0.0,5.96,4050.0
000590,CS홀딩스,35100,35950,34900,34900,1180,41674000,153614.0,4.54,0.22696198954847865,7681.0,1.43,500.0
139130,DGB금융지주,15050,15100,14900,15100,179846,2712047600,0.0,0.0,0.0,0.0,0.0,0.0
069730,DSR제강,4335,4550,4160,4360,279309,1218932380,5659.0,5.37,0.7706888363668493,812.0,0.57,25.0
017940,E1,51400,52600,51200,52300,3002,155832300,134826.0,5.65,0.3880666678719238,9263.0,2.87,1500.0
007700,F&F,7010,7300,7010,7300,730,5223500,9767.0,4.09,0.7478714996928433,1786.0,2.74,200.0
114090,GKL,20750,21550,20750,21400,297262,6296582450,3308.0,18.52,6.470393742442563,1156.0,2.9,620.0
078930,GS,64700,65800,64500,65000,550938,35897106000,51352.0,7.56,1.2655551694675962,8598.0,1.92,1250.0
006360,GS건설,90500,91500,89800,90900,404142,36565438700,74159.0,11.04,1.225239329514961,8231.0,1.1,1000.0
001250,GS글로벌,12500,12800,11850,11900,192527,2356678350,8421.0,7.28,1.4137090309939437,1635.0,4.2,500.0
007070,GS리테일,24050,24500,23800,24450,92900,2244321850,18083.0,26.31,1.351784134269756,929.0,2.04,500.0
078935,GS우,21100,21400,20950,21150,3995,84095750,0.0,0.0,0.0,0.0,6.15,1300.0
035000,GⅡR,8570,8570,8420,8490,13470,114459200,6422.0,12.08,1.3221616124260356,703.0,1.77,150.0
001500,HMC투자증권,13650,14150,13400,14050,85847,1191566850,21296.0,13.2,0.6596602648384673,1064.0,0.0,0.0
011420,IB스포츠,2080,2105,2000,2000,69600,142037650,1113.0,90.94,1.7975067385444743,22.0,0.0,0.0
