,종목명,시가,고가,저가,종가,거래량,거래대금,BPS,PER,PBR,EPS,DIV,DPS
004560,BNG스틸,8050,8380,8010,8280,201441,1658680100,11755.0,0.0,0.0,0.0,0.0,0.0
004565,BNG스틸우,7900,8100,7900,7900,170,1349300,0.0,0.0,0.0,0.0,0.0,0.0
001460,BYC,142000,143000,141000,143000,204,28994500,288027.0,18.47,0.49636524961201556,7741.0,0.52,750.0
001465,BYC우,57600,57900,57600,57900,3,173400,0.0,0.0,0.0,0.0,1.38,800.0
084680,C&우방랜드,1435,1490,1190,1270,10553890,13760073670,656.0,0.0,0.0,0.0,0.0,0.0
001040,CJ,68100,68700,66600,67900,122865,8280964900,80091.0,5.96,0.8477241902960383,11390.0,2.21,1500.0
079160,CJ CGV,22700,23250,22700,22950,75528,1745756050,3412.0,23.61,6.725765679953106,972.0,1.09,250.0
001045,CJ우,22800,22800,22100,22650,3652,81379800,0.0,0.0,0.0,0.0,6.84,1550.0
097950,CJ제일제당,205500,205500,201500,203500,41370,8421114000,117919.0,103.4,1.7261457017104962,1969.0,0.49,1000.0
097955,CJ제일제당 우,59700,61100,59700,60300,1151,69970500,0.0,0.0,0.0,0.0,1.74,1050.0
000590,CS홀딩스,54000,54000,52500,52500,366,19294900,149303.0,2.28,0.35135273623520624,23015.0,0.0,0.0
069730,DSR제강,4020,4060,3955,4000,145196,581308950,3773.0,3.16,1.0603651769149218,1266.0,0.63,25.0
017940,E1,63500,63500,62500,62800,4276,270283400,92394.0,6.94,0.6797610640301318,9048.0,2.39,1500.0
007700,F&F,3820,3890,3800,3850,1810,6931400,6968.0,5.89,0.5528801305970149,654.0,1.95,75.0
114090,GKL,25000,25700,24400,25000,502062,12511183900,1648.0,24.94,15.177374089805825,1003.0,1.4,350.0
078930,GS,37600,37900,37150,37250,230501,8624943750,37491.0,31.12,0.9937484996399136,1197.0,1.34,500.0
006360,GS건설,91800,91800,89800,90000,193483,17521721700,62951.0,11.71,1.430404575582596,7689.0,0.56,500.0
001250,GS글로벌,23600,23700,23000,23700,46150,1079405000,6276.0,9.28,3.776977772466539,2554.0,2.11,500.0
078935,GS우,17150,17200,17100,17200,5570,95292500,0.0,0.0,0.0,0.0,3.2,550.0
035000,GⅡR,10400,10400,10300,10400,9511,98580900,6939.0,0.0,0.0,0.0,1.92,200.0
001500,HMC투자증권,19650,19650,19250,19250,67270,1302801500,14924.0,234.8,1.289835164835165,82.0,0.0,0.0
011420,IB스포츠,3450,3505,3330,3360,579761,1975237345,1005.0,0.0,0.0,0.0,0.0,0.0
003560,IHQ,990,1030,980,1010,431799,434206490,949.0,0.0,0.0,0.0,0.0,0.0
005560,JS전선,14500,14600,13850,14050,24590,347003000,11618.0,15.54,1.2090990273713205,904.0,3.56,500.0
105560,KB금융,50400,51400,50100,50500,1488949,75656455000,0.0,0.0,0.0,0.0,0.0,0.0
002380,KCC,349000,349500,342000,344000,16486,5679331000,349818.0,18.6,0.9831112178332733,18496.0,2.03,7000.0
009070,KCTC,16850,17300,16700,17000,968,16316600,39272.0,10.9,0.4326406616036871,1559.0,1.47,250.0
009440,KC그린홀딩스,5330,5390,5160,5190,122926,646331570,4711.0,11.82,1.101489532477181,439.0,2.31,120.0
119650,KC코트렐,34700,35100,34000,34650,19894,686639000,0.0,0.0,0.0,0.0,0.0,0.0
092220,KEC,885,940,830,830,15397317,13243794550,2562.0,0.0,0.0,0.0,0.0,0.0
006200,KEC홀딩스,1555,1555,1410,1455,198754,288366370,5996.0,18.66,0.24269304536357572,78.0,1.03,15.0
109070,KGP,1435,1445,1400,1415,14000,19911250,0.0,0.0,0.0,0.0,0.0,0.0
001390,KG케미칼,12250,12500,12250,12300,87098,1078180000,18018.0,21.84,0.6825414169164169,563.0,1.63,200.0
001940,KISCO홀딩스,56800,57500,56400,56400,1316,74606000,180780.0,5.38,0.31170163665781614,10476.0,1.6,900.0
083420,KPX그린케미칼,27100,27100,26100,26300,3720,98431500,22974.0,48.44,1.144840363019065,543.0,3.8,1000.0
025000,KPX케미칼,44850,45300,44150,44150,1251,55696150,35388.0,8.39,1.2483508710579858,5265.0,3.4,1500.0
092230,KPX홀딩스,58100,59000,58100,58800,573,33721000,88840.0,12.17,0.6621642489306618,4833.0,2.55,1500.0
025850,KPX화인케미칼,67900,68800,67300,67800,9290,629927100,24977.0,1329.0,2.713656564038916,51.0,0.74,500.0
044450,KSS해운,4440,4440,4420,4435,5110,22617100,8403.0,0.0,0.0,0.0,1.69,75.0
030200,KT,44700,45150,43600,43950,1447466,63914674450,62646.0,19.81,0.7011511110046931,2217.0,2.55,1120.0
033780,KT&G,64100,65200,64000,64500,360919,23280459800,29268.0,9.39,2.2048781946152793,6872.0,4.34,2800.0
030210,KTB투자증권,3175,3185,3130,3140,179045,566206585,7332.0,5.2,0.42830443603382434,604.0,0.0,0.0
003550,LG,63500,63900,62500,62600,476652,30022459620,35644.0,12.02,1.7564257396055436,5207.0,1.2,750.0
034220,LG디스플레이,36300,36500,35350,36150,2683621,96689957550,25924.0,11.9,1.3943624874633544,3038.0,1.38,500.0
001120,LG상사,28600,28950,28400,28500,102837,2945781900,15714.0,22.11,1.8136047075855926,1289.0,0.7,200.0
068870,LG생명과학,55600,56400,55600,55700,42475,2376380800,16517.0,61.75,3.372192286734879,902.0,0.0,0.0
068875,LG생명과학우,26700,27300,26700,26950,140,3752500,0.0,0.0,0.0,0.0,0.0,0.0
051900,LG생활건강,280000,285500,280000,282000,26423,7488787551,33404.0,39.25,8.440089510238295,7183.0,0.71,2000.0
051905,LG생활건강우,78100,79600,77000,78000,2169,169591900,0.0,0.0,0.0,0.0,2.63,2050.0
003555,LG우,26550,26800,26300,26700,550,14680000,0.0,0.0,0.0,0.0,3.0,800.0
011070,LG이노텍,99700,103000,99300,101500,235981,23931320200,40907.0,18.25,2.480950693035422,5561.0,0.34,350.0
066570,LG전자,108500,109500,104500,106000,1907117,202464659000,52502.0,35.44,2.01952306578797,2992.0,0.33,350.0
066575,LG전자우,42800,42800,41500,41600,21627,906463900,0.0,0.0,0.0,0.0,0.96,400.0
032640,LG텔레콤,7720,7830,7690,7830,1351874,10509071830,7094.0,7.65,1.1029534201437834,1023.0,2.55,200.0
093050,LG패션,28050,28200,27150,27150,227305,6231120450,17087.0,10.92,1.5890315005559783,2486.0,1.47,400.0
108670,LG하우시스,113000,115000,111500,112000,42969,4823385500,0.0,0.0,0.0,0.0,0.0,0.0
108675,LG하우시스우,49300,50500,49200,50400,440,21935000,0.0,0.0,0.0,0.0,0.0,0.0
051910,LG화학,217000,223000,216500,218000,403934,89011646522,57913.0,19.5,3.76342962719942,11177.0,1.15,2500.0
051915,LG화학우,78600,80000,78600,79300,46111,3660351700,0.0,0.0,0.0,0.0,3.22,2550.0
002550,LIG손해보험,21900,22000,21400,21400,60128,1296157200,10153.0,9.77,2.1090910629863093,2191.0,2.34,500.0
006260,LS,95900,96400,92700,93200,199717,18841279400,55150.0,0.0,0.0,0.0,1.07,1000.0
000680,LS네트웍스,8650,8790,8650,8700,17030,148335000,5153.0,27.8,1.6884187609159713,313.0,0.0,0.0
000685,LS네트웍스우,48800,50400,48800,48950,40,1962400,0.0,0.0,0.0,0.0,0.0,0.0
010120,LS산전,79900,80600,78900,78900,107850,8569497400,18216.0,24.88,4.3315491875274486,3172.0,1.2,950.0
023150,MH에탄올,5120,5120,4980,5070,5720,28933300,4920.0,0.0,0.0,0.0,0.0,0.0
035420,NHN,184500,188000,183500,185000,107898,20045111500,25143.0,23.23,7.3548260201646585,7959.0,0.0,0.0
016420,NH투자증권,10200,10300,10150,10250,73942,754369000,8223.0,51.0,1.2466253192265597,201.0,0.59,60.0
008260,NI스틸,2645,2645,2570,2580,48315,125465050,1300.0,67.9,1.9840384615384616,38.0,0.97,25.0
010060,OCI,173500,175500,173000,175000,42694,7437376000,65212.0,11.22,2.682714646077409,15594.0,0.86,1500.0
005490,POSCO,537000,544000,536000,541000,216591,117049642000,395530.0,9.18,1.367101085094683,58905.0,1.85,10000.0
100840,S&TC,36700,37000,35650,36050,37099,1335058200,0.0,0.0,0.0,0.0,0.0,0.0
