,종목명,시가,고가,저가,종가,거래량,거래대금,BPS,PER,PBR,EPS,DIV,DPS
068400,AJ렌터카,15000,15200,14550,15200,169786,2531323250,9426.0,17.67,1.612328930617441,860.0,0.0,0.0
006840,AK홀딩스,86500,86900,81200,82500,139378,11628342800,42221.0,14.87,1.9539571170152294,5549.0,0.42,350.0
027410,BGF리테일,155000,159000,150500,155000,69983,10798464000,22686.0,36.56,6.8302862999206555,4238.0,0.39,600.0
138930,BNK금융지주,15600,15750,15300,15350,668568,10366189750,20333.0,4.03,0.7551778512762505,3809.0,1.3,200.0
001460,BYC,369500,379500,360000,362000,343,125195500,434980.0,11.98,0.8320927291197296,30221.0,0.22,800.0
001465,BYC우,184000,184000,180000,183000,35,6365500,0.0,0.0,0.0,0.0,0.46,850.0
001040,CJ,250000,250000,237000,239500,64200,15455884500,108643.0,32.47,2.2040723401415647,7375.0,0.4,950.0
079160,CJ CGV,102000,103500,97300,97700,414375,41112923600,18048.0,124.1,5.412587267287234,787.0,0.36,350.0
000120,CJ대한통운,193500,195000,188500,189500,25748,4897377500,98141.0,75.5,1.9309462915601023,2510.0,0.0,0.0
011150,CJ씨푸드,3540,3610,3380,3395,1011146,3498698180,1310.0,37.3,2.591937022900763,91.0,0.0,0.0
011155,CJ씨푸드1우,13300,13550,12350,12550,18151,232579900,0.0,0.0,0.0,0.0,0.0,0.0
001045,CJ우,127500,130500,125000,129500,11301,1446226000,0.0,0.0,0.0,0.0,0.77,1000.0
097950,CJ제일제당,421000,423500,400500,404000,77343,31404133000,206344.0,61.88,1.9581075776373436,6530.0,0.5,2000.0
097955,CJ제일제당 우,205000,207500,202000,204500,3541,724561000,0.0,0.0,0.0,0.0,1.0,2050.0
037560,CJ헬로비전,13000,13150,12550,12600,486235,6246111100,11653.0,37.94,1.0808590062644812,332.0,0.6,75.0
000590,CS홀딩스,82800,83900,82100,83800,1693,140316700,165649.0,13.07,0.5059302727453833,6412.0,0.0,0.0
139130,DGB금융지주,13100,13200,13000,13200,658386,8647921600,21797.0,7.7,0.6054255602835252,1714.0,2.42,320.0
004840,DRB동일,14800,15150,14250,14300,112393,1646632250,14629.0,6.16,0.9773547512646114,2321.0,0.42,60.0
155660,DSR,3725,3785,3695,3695,20065,74517085,6948.0,8.74,0.5322316224093264,423.0,0.81,30.0
069730,DSR제강,3610,3675,3485,3495,45598,162291575,7555.0,6.89,0.4624152051621443,507.0,0.86,30.0
017940,E1,73800,75300,73500,74900,7583,566786500,166331.0,10.56,0.45061654171501403,7096.0,2.67,2000.0
007700,F&F,20250,21150,20250,20600,97835,2028388000,12307.0,22.69,1.67386446737629,908.0,0.73,150.0
114090,GKL,38500,39400,37200,37650,574214,21719102950,6974.0,19.98,5.398704115285345,1884.0,2.66,1002.0
078930,GS,49600,50000,48000,48600,383456,18616121950,62374.0,0.0,0.0,0.0,2.47,1200.0
006360,GS건설,27350,27700,26250,26250,744983,19953521450,46070.0,0.0,0.0,0.0,0.0,0.0
001250,GS글로벌,8140,8180,8000,8090,86671,699097570,11121.0,25.28,0.7274525672151785,320.0,1.55,125.0
007070,GS리테일,39550,40600,38900,39900,234754,9385150050,21838.0,27.61,1.8268864765546295,1445.0,1.5,600.0
078935,GS우,31850,31900,31650,31850,3605,114600850,0.0,0.0,0.0,0.0,3.92,1250.0
035000,GⅡR,11250,11300,10800,11100,27011,295984900,7568.0,18.6,1.4667638411733614,597.0,1.8,200.0
