,종목명,시가,고가,저가,종가,거래량,거래대금,BPS,PER,PBR,EPS,DIV,DPS
095570,AJ네트웍스,4445,4445,4330,4370,79377,347233705,7231.0,3.89,0.6047659383211174,1124.0,2.29,100.0
068400,AJ렌터카,11400,11500,11300,11450,151919,1734871600,11150.0,66.56,1.0267937219730943,172.0,0.0,0.0
006840,AK홀딩스,32850,32950,32300,32850,18956,619651750,63797.0,3.99,0.5143766556421149,8224.0,2.28,750.0
027410,BGF,5450,5540,5450,5480,130622,718706700,15719.0,9.53,0.34865250652077107,575.0,0.64,35.0
282330,BGF리테일,161000,162000,159000,160000,29234,4667058500,30182.0,17.94,5.304227271221258,8925.0,1.68,2680.0
138930,BNK금융지주,7650,7830,7620,7760,1097413,8523405505,23400.0,5.26,0.33166816907051283,1475.0,3.87,300.0
001460,BYC,234500,236000,230500,236000,292,68174500,485043.0,21.67,0.4866133324777391,10891.0,0.42,1000.0
001465,BYC우,124500,125500,124000,125000,194,24224000,0.0,0.0,0.0,0.0,0.84,1050.0
001040,CJ,95000,97100,94800,96900,59028,5681650900,121743.0,10.56,0.7964626302949657,9180.0,1.5,1450.0
079160,CJ CGV,35600,36300,35600,36000,87711,3154853500,5284.0,0.0,0.0,0.0,0.56,200.0
00104K,CJ4우(전환),69800,70800,69400,70800,8801,616937200,0.0,0.0,0.0,0.0,0.0,0.0
000120,CJ대한통운,154000,156000,152000,152500,33368,5105801500,116702.0,76.4,1.3062715291940155,1996.0,0.0,0.0
011150,CJ씨푸드,2760,2890,2710,2720,830779,2321889075,1710.0,45.34,1.5910087719298245,60.0,0.0,0.0
011155,CJ씨푸드1우,32250,34350,31700,32800,19461,649036250,0.0,0.0,0.0,0.0,0.0,0.0
001045,CJ우,45150,45150,44550,45100,3562,159744600,0.0,0.0,0.0,0.0,3.33,1500.0
097950,CJ제일제당,246500,251000,246000,249000,22899,5704149000,291963.0,4.49,0.8518976505584612,55416.0,1.41,3500.0
097955,CJ제일제당 우,105500,108000,105000,107500,2371,253800000,0.0,0.0,0.0,0.0,3.3,3550.0
037560,CJ헬로,6330,6380,6140,6140,538957,3359312180,13677.0,11.99,0.4489288586678365,512.0,1.22,75.0
000590,CS홀딩스,56600,56800,55700,56300,1236,69408400,189462.0,10.29,0.29700353006143715,5469.0,0.89,500.0
012030,DB,797,864,790,850,4296662,3608452384,684.0,0.0,0.0,0.0,0.0,0.0
016610,DB금융투자,4385,4410,4385,4400,64054,281699680,15495.0,3.35,0.2836197160374314,1312.0,5.68,250.0
005830,DB손해보험,56200,57900,55600,57600,186450,10627332600,72003.0,6.85,0.8005526896448759,8413.0,3.47,2000.0
000990,DB하이텍,23800,26300,23700,25800,3165986,80432158800,12545.0,12.89,2.0571567357512954,2002.0,0.97,250.0
000995,DB하이텍1우,56800,68900,55400,68900,101641,6534464700,0.0,0.0,0.0,0.0,0.44,300.0
139130,DGB금융지주,7400,7490,7290,7490,935428,6901737480,25684.0,3.35,0.29121934801335464,2233.0,4.81,360.0
001530,DI동일,72800,73500,72100,72100,8072,583975600,198666.0,5150.0,0.36306162101215106,14.0,2.08,1500.0
004840,DRB동일,5400,5440,5300,5370,9154,49037790,17183.0,17.48,0.31238451521852995,307.0,2.05,110.0
155660,DSR,4285,4290,4205,4290,25588,108774335,9127.0,8.68,0.4697891558014682,494.0,1.17,50.0
069730,DSR제강,4485,4515,4415,4490,40450,180565040,9454.0,8.75,0.47479902686693465,513.0,0.89,40.0
017940,E1,47600,48900,47550,48900,15739,759913500,180483.0,3.62,0.27084951170955157,13507.0,4.09,2000.0
007700,F&F,107000,108000,105000,106500,69990,7435601500,25593.0,15.02,4.161338976966358,7089.0,0.61,650.0
114090,GKL,19450,19600,19200,19300,217134,4183980950,9087.0,15.35,2.1235736835589303,1257.0,3.68,710.0
078930,GS,51000,52400,51000,52100,352768,18361499100,89656.0,5.46,0.5810194834980369,9539.0,3.65,1900.0
006360,GS건설,31000,31150,30500,30950,321958,9913325650,44671.0,3.97,0.6922575258557006,7788.0,3.23,1000.0
001250,GS글로벌,2280,2280,2245,2260,138637,312619585,4636.0,9.08,0.4875869553494392,249.0,1.11,25.0
007070,GS리테일,37500,38100,37400,38000,138905,5260169900,27116.0,24.27,1.4013854827408172,1566.0,1.71,650.0
078935,GS우,37950,38450,37850,38150,8620,329098000,0.0,0.0,0.0,0.0,5.11,1950.0
012630,HDC,10700,10900,10650,10850,272330,2938502000,32167.0,0.68,0.3371169981803945,15943.0,1.38,150.0
039570,HDC아이콘트롤스,11050,11050,10850,10950,120761,1318373650,12614.0,7.43,0.8676018461629935,1473.0,3.2,350.0
089470,HDC현대EP,4820,4930,4820,4920,84113,411143610,8849.0,17.89,0.5559861990055374,275.0,1.22,60.0
294870,HDC현대산업개발,25700,26450,25550,26300,303974,7915985400,41976.0,5.03,0.6271083476272156,5232.0,1.9,500.0
