,종목명,시가,고가,저가,종가,거래량,거래대금,BPS,PER,PBR,EPS,DIV,DPS
095570,AJ네트웍스,30500,31000,28900,30700,60396,1809261850,28067.0,12.84,1.0941463729646916,2391.0,0.0,0.0
068400,AJ렌터카,8600,8620,8500,8530,94345,806436040,10172.0,10.78,0.8383767941407786,791.0,0.0,0.0
006840,AK홀딩스,57200,58200,57200,57600,27479,1590039700,42342.0,0.0,0.0,0.0,0.87,500.0
027410,BGF리테일,84500,84600,82000,82500,143670,11929394400,15615.0,26.44,5.284113832853026,3121.0,1.45,1200.0
138930,BNK금융지주,9000,9040,8970,8980,486955,4379526390,22104.0,4.75,0.40614820846905536,1890.0,1.67,150.0
001460,BYC,404500,404500,393000,402000,627,249743000,450114.0,19.31,0.8925692991108919,20803.0,0.21,850.0
001465,BYC우,176000,176000,173000,174500,52,9033000,0.0,0.0,0.0,0.0,0.52,900.0
001040,CJ,191000,192500,188500,190000,56472,10761644500,114710.0,26.23,1.6562579003574232,7242.0,0.71,1350.0
079160,CJ CGV,66600,69100,66500,69000,128330,8790380100,19899.0,28.11,3.46793887255641,2455.0,0.51,350.0
000120,CJ대한통운,180500,181000,178500,179000,17186,3080560500,101842.0,67.94,1.7584419983896624,2636.0,0.0,0.0
011150,CJ씨푸드,3660,3720,3550,3550,560270,2026733245,1384.0,50.0,2.565028901734104,71.0,0.0,0.0
011155,CJ씨푸드1우,17500,18350,17200,17800,7296,130259700,0.0,0.0,0.0,0.0,0.0,0.0
001045,CJ우,78500,78800,77600,78400,3313,259091300,0.0,0.0,0.0,0.0,1.79,1400.0
097950,CJ제일제당,383000,383000,376000,376500,18464,6966782500,216981.0,28.1,1.735102814301713,13401.0,0.66,2500.0
097955,CJ제일제당 우,177500,179500,176000,178000,1373,244698000,0.0,0.0,0.0,0.0,1.43,2550.0
037560,CJ헬로비전,9490,9520,9400,9440,51705,488075600,12282.0,12.23,0.7685154087282201,772.0,0.79,75.0
000590,CS홀딩스,80700,81000,79500,81000,180,14503700,177390.0,4.3,0.4566261574074074,18834.0,0.0,0.0
139130,DGB금융지주,10150,10250,10050,10200,417021,4234426400,20624.0,5.8,0.494742737526668,1759.0,2.75,280.0
004840,DRB동일,12900,13050,12600,12750,23048,297137650,16422.0,5.36,0.7757419543904518,2377.0,0.47,60.0
155660,DSR,9480,9920,9330,9330,870792,8352492690,7546.0,15.02,1.2363576315266367,621.0,0.54,50.0
069730,DSR제강,8770,9090,8670,8700,773845,6837630670,8199.0,12.7,1.0613051134284668,685.0,0.46,40.0
017940,E1,63200,63500,62700,62900,5214,327878800,167698.0,36.47,0.3751302564729454,1725.0,4.13,2600.0
007700,F&F,17600,17850,17450,17850,101944,1808199150,12964.0,22.1,1.377024838012959,808.0,1.12,200.0
114090,GKL,21350,21350,21000,21200,99078,2092756000,7376.0,14.3,2.87449371271692,1483.0,3.92,831.0
