,종목명,시가,고가,저가,종가,거래량,거래대금,BPS,PER,PBR,EPS,DIV,DPS
095570,AJ네트웍스,43500,44500,42500,43050,64282,2764773950,23715.0,15.76,1.8153212629137676,2732.0,0.0,0.0
068400,AJ렌터카,11950,12350,11900,11950,175197,2119080450,9426.0,13.9,1.2680517982176958,860.0,0.0,0.0
006840,AK홀딩스,64200,64300,59900,60300,215608,13115801100,42221.0,10.87,1.428247162253381,5549.0,0.58,350.0
027410,BGF리테일,150000,151500,145500,150000,61968,9257501500,22686.0,35.38,6.608447941461694,4238.0,0.4,600.0
138930,BNK금융지주,9730,9970,9660,9970,2290762,22394962900,20333.0,2.62,0.49064607488442435,3809.0,2.01,200.0
001460,BYC,435000,440000,435000,436500,160,70008500,434980.0,14.44,1.0030706871580302,30221.0,0.18,800.0
001465,BYC우,207000,207000,202000,206000,30,6144000,0.0,0.0,0.0,0.0,0.41,850.0
001040,CJ,234000,248500,233000,243500,87279,21328492000,108643.0,33.03,2.242256461529965,7375.0,0.39,950.0
079160,CJ CGV,108500,115500,108000,115500,148351,16661040000,18048.0,146.8,6.399171653368795,787.0,0.3,350.0
000120,CJ대한통운,189000,193500,189000,191500,21441,4114684500,98141.0,76.3,1.9517263427109974,2510.0,0.0,0.0
011150,CJ씨푸드,3650,3675,3595,3615,78535,285139045,1310.0,39.72,2.759088740458015,91.0,0.0,0.0
011155,CJ씨푸드1우,19600,19600,18800,18900,947,17936750,0.0,0.0,0.0,0.0,0.0,0.0
001045,CJ우,130000,136000,130000,135000,6188,828792500,0.0,0.0,0.0,0.0,0.74,1000.0
097950,CJ제일제당,349000,349000,343000,348000,20315,7030913000,206344.0,53.28,1.686148191854379,6530.0,0.57,2000.0
097955,CJ제일제당 우,220000,220000,212500,215000,3224,692543500,0.0,0.0,0.0,0.0,0.95,2050.0
037560,CJ헬로비전,0,0,0,10900,0,0,11653.0,32.84,0.9357354329357247,332.0,0.69,75.0
000590,CS홀딩스,83400,83400,81200,81200,381,31128400,165649.0,12.66,0.4899025952465756,6412.0,0.0,0.0
139130,DGB금융지주,10300,10450,10250,10400,338355,3508261340,21797.0,6.07,0.47733704752947653,1714.0,3.08,320.0
004840,DRB동일,13250,13400,13050,13300,25725,340471900,14629.0,5.73,0.9091816234021464,2321.0,0.45,60.0
155660,DSR,3740,3800,3705,3795,43328,163709240,6948.0,8.97,0.5460249352331606,423.0,0.79,30.0
069730,DSR제강,4065,4105,3985,3985,18503,74282010,7555.0,7.86,0.5274259596293845,507.0,0.75,30.0
017940,E1,68400,68600,66800,67200,3576,241889200,166331.0,9.47,0.4039550655019209,7096.0,2.98,2000.0
007700,F&F,17200,17750,16150,17400,116066,1956495250,12307.0,19.16,1.4133318436662061,908.0,0.86,150.0
114090,GKL,24500,24500,23700,23950,665959,16004276700,6974.0,12.71,3.4338121952968166,1884.0,4.18,1002.0
078930,GS,50900,51100,50400,50700,109583,5563867900,62374.0,0.0,0.0,0.0,2.37,1200.0
006360,GS건설,22800,23050,22600,22650,313625,7141679450,46070.0,0.0,0.0,0.0,0.0,0.0
001250,GS글로벌,6130,6130,6020,6050,43098,260663270,11121.0,18.9,0.5440158259149357,320.0,2.07,125.0
007070,GS리테일,53700,54900,53700,54500,295943,16090360300,21838.0,37.72,2.495814348841469,1445.0,1.1,600.0
078935,GS우,34250,34750,34100,34500,1235,42500700,0.0,0.0,0.0,0.0,3.62,1250.0
