,종목명,시가,고가,저가,종가,거래량,거래대금,BPS,PER,PBR,EPS,DIV,DPS
068400,AJ렌터카,12750,12900,12550,12650,99069,1253897850,7647.0,13.9,1.653926785013731,910.0,0.0,0.0
006840,AK홀딩스,38750,40250,38050,40200,114964,4544232900,33073.0,1.75,1.2134596196293048,22933.0,0.37,150.0
138930,BS금융지주,15850,16050,15650,16050,452016,7213996300,16833.0,8.59,0.9541804045624666,1869.0,2.06,330.0
001460,BYC,196000,199500,196000,199500,26,5139000,396687.0,5.09,0.5024957984034012,39163.0,0.43,850.0
001465,BYC우,71900,71900,71900,71900,1,71900,0.0,0.0,0.0,0.0,1.25,900.0
001040,CJ,112500,114500,112000,114500,114394,13008778000,101632.0,14.68,1.126773478702574,7801.0,0.57,650.0
079160,CJ CGV,47150,48450,47150,48000,214435,10282081000,16762.0,18.28,2.8640116036272523,2626.0,0.73,350.0
000120,CJ대한통운,98800,99000,97500,98300,32411,3197128500,100335.0,20.64,0.9798305364528829,4763.0,0.0,0.0
011150,CJ씨푸드,2655,2655,2610,2620,127967,336267490,1080.0,16.58,2.425318287037037,158.0,0.0,0.0
011155,CJ씨푸드1우,0,0,0,6100,0,0,0.0,0.0,0.0,0.0,0.0,0.0
001045,CJ우,38900,39600,38900,39600,2050,80526000,0.0,0.0,0.0,0.0,1.77,700.0
097950,CJ제일제당,273500,284000,273500,283500,76677,21491020500,206383.0,15.43,1.373310445567222,18369.0,0.63,1800.0
097955,CJ제일제당 우,91000,92700,90900,92700,5007,460257400,0.0,0.0,0.0,0.0,2.0,1850.0
037560,CJ헬로비전,17850,18100,17450,18050,314256,5586685800,9354.0,12.11,1.930198644964721,1491.0,0.0,0.0
000590,CS홀딩스,37400,40850,36550,36550,18663,703042150,146972.0,6.4,0.24849822585254333,5708.0,0.0,0.0
139130,DGB금융지주,16450,16850,16350,16850,199371,3319858350,18823.0,8.26,0.8945268919672741,2039.0,1.96,330.0
004840,DRB동일,7890,7990,7830,7850,28722,226941500,12043.0,5.05,0.6521601630615296,1555.0,0.51,40.0
155660,DSR,4270,4370,4225,4350,96774,415995945,5128.0,5.74,0.8482092799336973,758.0,0.0,0.0
069730,DSR제강,2915,3100,2915,3050,224186,675866650,6964.0,35.47,0.43801155944859277,86.0,0.98,30.0
017940,E1,76000,76000,74300,75700,3112,233831300,154916.0,5.01,0.4883737396395466,15096.0,2.11,1600.0
007700,F&F,6690,6700,6690,6690,897,6004330,11083.0,12.72,0.6036328160245421,526.0,1.49,100.0
114090,GKL,32850,32900,31800,32000,374043,12022003550,5358.0,13.75,5.974244120940649,2328.0,3.8,1217.0
078930,GS,55600,56000,55000,55200,323471,17914614500,66978.0,10.58,0.8239433564006091,5217.0,2.45,1350.0
006360,GS건설,31000,31200,30500,30500,506029,15567864400,72576.0,14.78,0.420162570960097,2063.0,0.82,250.0
