,종목명,시가,고가,저가,종가,거래량,거래대금,BPS,PER,PBR,EPS,DIV,DPS
068400,AJ렌터카,10550,10700,10200,10450,197712,2050369500,7647.0,11.48,1.365721443049562,910.0,0.0,0.0
006840,AK홀딩스,40350,41900,40200,41400,93507,3863202400,33073.0,1.81,1.2547660017707043,22933.0,0.36,150.0
138930,BS금융지주,16050,16200,15900,16150,190323,3052285200,16833.0,8.64,0.9593850249509891,1869.0,2.04,330.0
001460,BYC,186500,188500,186500,188000,36,6776500,396687.0,4.8,0.4739580477649885,39163.0,0.45,850.0
001465,BYC우,70000,70000,68300,69700,31,2138300,0.0,0.0,0.0,0.0,1.29,900.0
001040,CJ,102500,103500,99600,100500,124869,12593584700,101632.0,12.88,0.988850168377086,7801.0,0.65,650.0
079160,CJ CGV,49500,49500,45150,46050,336292,15610212250,16762.0,17.55,2.7489615648490635,2626.0,0.76,350.0
000120,CJ대한통운,84100,84500,83100,83600,28334,2370811500,100335.0,17.55,0.8329672160761449,4763.0,0.0,0.0
011150,CJ씨푸드,2480,2480,2390,2395,210740,510073730,1080.0,15.16,2.217303240740741,158.0,0.0,0.0
011155,CJ씨푸드1우,8010,8080,7400,7540,4881,37123100,0.0,0.0,0.0,0.0,0.0,0.0
001045,CJ우,36100,36350,35800,36100,851,30718600,0.0,0.0,0.0,0.0,1.94,700.0
097950,CJ제일제당,244500,249000,242000,246500,58487,14391655000,206383.0,13.42,1.1946062508782216,18369.0,0.73,1800.0
097955,CJ제일제당 우,84900,86300,84100,85300,1778,152695700,0.0,0.0,0.0,0.0,2.17,1850.0
037560,CJ헬로비전,17800,17900,17000,17200,179716,3087781600,9354.0,11.54,1.8392925152341244,1491.0,0.0,0.0
000590,CS홀딩스,36150,36150,35500,35550,1514,54029700,146972.0,6.23,0.2419747681531176,5708.0,0.0,0.0
139130,DGB금융지주,16950,17000,16200,16200,204457,3344698900,18823.0,7.95,0.8610984981804176,2039.0,2.04,330.0
004840,DRB동일,7780,7840,7630,7690,15803,121636270,12043.0,4.95,0.639046346944283,1555.0,0.52,40.0
155660,DSR,4070,4075,3950,4000,29633,118126850,5128.0,5.28,0.7806527886115444,758.0,0.0,0.0
069730,DSR제강,3285,3305,3215,3305,11791,38674105,6964.0,38.44,0.4746733199310741,86.0,0.91,30.0
017940,E1,77200,77800,76500,77400,2485,191656300,154916.0,5.13,0.4997932347207519,15096.0,2.07,1600.0
007700,F&F,6610,6700,6440,6590,2850,18941400,11083.0,12.53,0.5947340521519444,526.0,1.52,100.0
114090,GKL,35950,36250,35500,35550,80712,2894308000,5358.0,15.27,6.636163213885778,2328.0,3.42,1217.0
078930,GS,56800,57100,56000,56200,171329,9653720000,66978.0,10.77,0.8391564907506942,5217.0,2.4,1350.0
006360,GS건설,34400,34650,33850,33850,182098,6215148650,72576.0,16.4,0.46635380497685186,2063.0,0.74,250.0
001250,GS글로벌,9240,9240,8840,8960,37540,338293100,10444.0,9.89,0.8579956194944466,906.0,1.4,125.0
007070,GS리테일,28050,28500,27850,28000,109353,3065103500,19798.0,17.47,1.4144058111930498,1603.0,1.43,400.0
078935,GS우,28500,28750,28200,28500,1683,47959200,0.0,0.0,0.0,0.0,4.91,1400.0
035000,GⅡR,8040,8040,7710,7710,119938,935691180,6815.0,10.17,1.1313692223037417,758.0,2.59,200.0
001500,HMC투자증권,10600,10600,10400,10450,46221,482861950,23166.0,9.94,0.4508466070966071,1051.0,1.44,150.0
011420,IB월드와이드,2145,2145,2050,2090,27510,57147450,1247.0,110.0,1.6760224538893345,19.0,0.0,0.0
003560,IHQ,2310,2310,2150,2220,418092,923155740,842.0,20.38,2.6376187648456058,109.0,0.0,0.0
175330,JB금융지주,6680,6680,6110,6310,1495516,9389174180,0.0,0.0,0.0,0.0,0.0,0.0
005560,JS전선,4165,4165,3660,3930,122778,483019740,11471.0,3.78,0.34264394996077063,1040.0,7.63,300.0
001060,JW중외제약,14800,14850,14000,14050,34299,489397250,14131.0,0.0,0.0,0.0,0.89,125.0
001067,JW중외제약2우B,18000,18000,16950,17050,940,16277500,0.0,0.0,0.0,0.0,0.73,125.0
001065,JW중외제약우,11500,11800,10850,10900,3270,36832000,0.0,0.0,0.0,0.0,1.38,150.0
096760,JW홀딩스,2650,2710,2500,2530,101960,262687500,1580.0,0.0,0.0,0.0,0.99,25.0
105560,KB금융,39450,39950,39150,39150,544256,21518577350,63438.0,8.88,0.6172237066111794,4408.0,1.53,600.0
002380,KCC,453000,460000,446000,456000,16912,7613270500,468604.0,10.05,0.9730334674906744,45384.0,1.75,8000.0
009070,KCTC,18750,18750,18200,18700,3960,72572500,48172.0,0.0,0.0,0.0,1.34,250.0
009440,KC그린홀딩스,9240,9820,9000,9500,499850,4756324820,5875.0,8.99,1.6178284574468085,1057.0,0.74,70.0
119650,KC코트렐,11400,11500,11200,11350,21502,243640300,7313.0,6.93,1.552143870504581,1638.0,4.14,470.0
092220,KEC,852,1010,852,949,2444796,2347547390,4794.0,0.0,0.0,0.0,0.0,0.0
109070,KGP,1620,1670,1620,1665,5780,9449050,3238.0,0.0,0.0,0.0,0.0,0.0
001390,KG케미칼,17350,17500,17050,17300,19050,328734000,16723.0,23.19,1.034376308078694,746.0,0.87,150.0
001940,KISCO홀딩스,39750,39900,39200,39250,1320,51884000,175031.0,3.96,0.22455669459981376,9923.0,2.29,900.0
083420,KPX그린케미칼,4620,4620,4550,4550,4251,19402250,4928.0,7.78,0.9237076400162337,585.0,3.3,150.0
025000,KPX케미칼,65400,66300,64000,66100,1229,79469100,68667.0,8.69,0.9619040077475353,7603.0,4.54,3000.0
092230,KPX홀딩스,47050,47100,46500,46500,2879,134710000,123023.0,10.54,0.37779330389439375,4410.0,5.48,2550.0
025850,KPX화인케미칼,18400,18400,17700,18000,6640,119931000,33703.0,0.0,0.0,0.0,0.0,0.0
044450,KSS해운,11500,11700,10900,11000,46234,513416500,11811.0,9.53,0.931255820844975,1154.0,0.82,90.0
030200,KT,32550,32550,31500,31600,1650139,52443439550,47141.0,7.28,0.6704971521605396,4341.0,6.33,2000.0
033780,KT&G,77100,78200,77100,78200,157438,12252186700,37081.0,13.32,2.1082741582616435,5869.0,4.09,3200.0
030210,KTB투자증권,2430,2445,2350,2350,191668,459307470,6717.0,43.53,0.34996092005359536,54.0,0.0,0.0
058850,KTcs,3210,3250,3135,3155,173947,552699915,2685.0,7.46,1.1754102653631284,423.0,3.17,100.0
003550,LG,61700,62100,60000,61200,355966,21614247200,64357.0,11.56,0.9511300247059372,5294.0,1.63,1000.0
034220,LG디스플레이,22850,22950,21800,22300,2925776,65205057200,28534.0,34.2,0.7811820985490994,652.0,0.0,0.0
001120,LG상사,27150,27900,27100,27500,403380,11138245800,37894.0,4.8,0.7265656955916504,5735.0,1.82,500.0
068870,LG생명과학,42700,42800,41200,41500,79539,3309094000,15028.0,81.9,2.762218858131488,507.0,0.0,0.0
068875,LG생명과학우,22000,22000,21000,21000,311,6583500,0.0,0.0,0.0,0.0,0.0,0.0
051900,LG생활건강,526000,526000,509000,510000,27332,14044969000,67816.0,28.14,7.521484144597145,18126.0,0.74,3750.0
051905,LG생활건강우,205000,207000,204000,205000,380,77919500,0.0,0.0,0.0,0.0,1.85,3800.0
003555,LG우,32900,32900,31700,31800,2480,79785000,0.0,0.0,0.0,0.0,3.3,1050.0
032640,LG유플러스,11600,11650,11350,11450,836546,9624045850,8582.0,0.0,0.0,0.0,0.0,0.0
011070,LG이노텍,77000,77300,74700,75500,214015,16151425800,62876.0,0.0,0.0,0.0,0.0,0.0
066570,LG전자,66100,66700,65200,65200,763493,49997486500,68872.0,178.1,0.9465929550470438,366.0,0.31,200.0
066575,LG전자우,25950,26150,25350,25500,30550,779660000,0.0,0.0,0.0,0.0,0.98,250.0
093050,LG패션,31250,31600,30050,30050,103190,3145231000,29701.0,14.47,1.0113169590249487,2076.0,1.33,400.0
108670,LG하우시스,132000,133500,129000,129500,16626,2167820500,72100.0,44.7,1.7961771844660195,2898.0,0.77,1000.0
108675,LG하우시스우,42550,42700,41800,42150,1060,44633500,0.0,0.0,0.0,0.0,2.49,1050.0
051910,LG화학,286500,290000,282000,284000,194214,55679395500,143834.0,13.98,1.974330108840747,20318.0,1.41,4000.0
051915,LG화학우,142500,145500,141500,143500,26809,3855030500,0.0,0.0,0.0,0.0,2.82,4050.0
002550,LIG손해보험,27150,27300,26700,26900,96025,2586532950,25974.0,8.35,1.0356657739470239,3221.0,2.04,550.0
006260,LS,79000,79600,75500,76800,158958,12196817700,72222.0,12.53,1.063270194677522,6128.0,1.63,1250.0
000680,LS네트웍스,4510,4510,4410,4475,16206,72224650,10165.0,17.97,0.4401592474176094,249.0,1.12,50.0
000685,LS네트웍스우,79100,83200,72100,75000,2151,166905500,0.0,0.0,0.0,0.0,0.13,100.0
000687,LS네트웍스전환상환2우B,4415,4575,4415,4505,161,716605,0.0,0.0,0.0,0.0,3.88,175.0
010120,LS산전,66700,67200,65400,65500,45267,2980521300,27810.0,19.16,2.356473615605897,3421.0,1.53,1000.0
