,종목명,시가,고가,저가,종가,거래량,거래대금,BPS,PER,PBR,EPS,DIV,DPS
095570,AJ네트웍스,4200,4220,4140,4180,35796,149072040,7231.0,3.72,0.5783529681233578,1124.0,2.39,100.0
068400,AJ렌터카,11500,11850,11350,11500,322608,3733490350,11150.0,66.9,1.0316143497757848,172.0,0.0,0.0
006840,AK홀딩스,31850,32950,31150,32050,28753,910902000,63797.0,3.9,0.5027949981974074,8224.0,2.34,750.0
027410,BGF,5960,6010,5880,5900,126842,751388680,15719.0,10.26,0.3752301156244036,575.0,0.59,35.0
282330,BGF리테일,189000,189500,186000,188000,17435,3266129500,30182.0,21.06,6.228308677357365,8925.0,1.43,2680.0
138930,BNK금융지주,7100,7160,7040,7120,547936,3883736160,23400.0,4.83,0.3043369391025641,1475.0,4.21,300.0
001460,BYC,239500,240000,238000,239500,289,69091500,485043.0,21.98,0.49363010727914847,10891.0,0.42,1000.0
001465,BYC우,126000,126000,125000,126000,278,34789000,0.0,0.0,0.0,0.0,0.83,1050.0
001040,CJ,81800,83100,81000,83000,42933,3523620200,121743.0,9.04,0.681588212463961,9180.0,1.75,1450.0
079160,CJ CGV,34400,35300,34150,35100,86100,2992146050,5284.0,0.0,0.0,0.0,0.57,200.0
00104K,CJ4우(전환),60100,60500,58800,60500,9073,539197700,0.0,0.0,0.0,0.0,0.0,0.0
000120,CJ대한통운,157000,157000,154000,156000,37066,5768372000,116702.0,78.2,1.3372714263680143,1996.0,0.0,0.0
011150,CJ씨푸드,2930,2945,2850,2925,771602,2231147185,1710.0,48.75,1.7105263157894737,60.0,0.0,0.0
011155,CJ씨푸드1우,32350,33200,32100,32150,3093,99837350,0.0,0.0,0.0,0.0,0.0,0.0
001045,CJ우,41900,41900,40900,41000,24098,989217050,0.0,0.0,0.0,0.0,3.66,1500.0
097950,CJ제일제당,225000,229000,224500,228500,22164,5034688000,291963.0,4.12,0.7822036739244357,55416.0,1.53,3500.0
097955,CJ제일제당 우,97400,97600,96800,97300,6191,601187600,0.0,0.0,0.0,0.0,3.65,3550.0
037560,CJ헬로,6070,6190,6030,6190,175936,1073492780,13677.0,12.09,0.4527308620311472,512.0,1.21,75.0
000590,CS홀딩스,57300,57800,56500,57500,640,36542200,189462.0,10.51,0.3033179559093644,5469.0,0.87,500.0
012030,DB,777,795,764,794,654781,512101398,684.0,0.0,0.0,0.0,0.0,0.0
016610,DB금융투자,4350,4365,4280,4365,34451,148087175,15495.0,3.33,0.2819659567602452,1312.0,5.73,250.0
005830,DB손해보험,52100,53000,51700,52000,118070,6160583800,72003.0,6.18,0.7220492331916726,8413.0,3.85,2000.0
000990,DB하이텍,17100,17250,16900,17200,258174,4420725400,12545.0,8.59,1.3714378238341969,2002.0,1.45,250.0
000995,DB하이텍1우,38600,39200,38250,38300,249,9563450,0.0,0.0,0.0,0.0,0.78,300.0
139130,DGB금융지주,7260,7260,7140,7200,472539,3394155230,25684.0,3.22,0.2800120728128407,2233.0,5.0,360.0
001530,DI동일,74000,74500,73000,73900,2761,202887800,198666.0,5280.0,0.37208178550934734,14.0,2.03,1500.0
004840,DRB동일,5440,5530,5440,5460,2844,15573260,17183.0,17.8,0.31796779520456264,307.0,2.01,110.0
155660,DSR,3975,4025,3925,3950,41454,163666015,9127.0,8.0,0.43300098608524157,494.0,1.27,50.0
069730,DSR제강,4200,4240,4115,4130,43002,178180820,9454.0,8.05,0.43664553363655595,513.0,0.97,40.0
017940,E1,48950,49350,48750,49350,6610,324728700,180483.0,3.65,0.2731882015030502,13507.0,4.05,2000.0
007700,F&F,91700,94300,91000,91400,74800,6912115500,25593.0,12.89,3.5705716651037394,7089.0,0.71,650.0
114090,GKL,21450,21750,21300,21750,86805,1871298950,9087.0,17.3,2.392667753383955,1257.0,3.26,710.0
078930,GS,50100,50800,50000,50800,73564,3712084900,89656.0,5.33,0.5668888236704738,9539.0,3.74,1900.0
006360,GS건설,31950,32000,31250,31600,259711,8191823400,44671.0,4.06,0.7075804912583108,7788.0,3.16,1000.0
001250,GS글로벌,2385,2385,2340,2360,121125,285065335,4636.0,9.48,0.5089870712899051,249.0,1.06,25.0
