,종목명,시가,고가,저가,종가,거래량,거래대금,BPS,PER,PBR,EPS,DIV,DPS
138930,BS금융지주,12600,12750,12450,12600,718830,9039573950,0.0,0.0,0.0,0.0,0.0,0.0
001460,BYC,154000,154000,150000,150500,83,12517000,337506.0,4.32,0.44630914894846313,34866.0,0.56,850.0
001465,BYC우,68600,68600,66500,67600,61,4082600,0.0,0.0,0.0,0.0,1.33,900.0
001040,CJ,77000,77600,76200,76300,87953,6743743600,112408.0,13.16,0.6788329122482386,5800.0,1.05,800.0
079160,CJ CGV,26100,26150,24800,25000,239157,6028823000,4539.0,15.46,5.50789511731659,1617.0,1.0,250.0
011150,CJ씨푸드,2970,3095,2935,2980,2695798,8141377640,839.0,20.84,3.552629618593564,143.0,0.0,0.0
011155,CJ씨푸드1우,9230,9290,9100,9290,1990,18253600,0.0,0.0,0.0,0.0,0.0,0.0
001045,CJ우,19100,19100,19000,19000,3630,69051000,0.0,0.0,0.0,0.0,4.47,850.0
097950,CJ제일제당,297500,298000,288000,296000,62098,18104037500,208403.0,5.88,1.421044334024702,50375.0,1.35,4000.0
097955,CJ제일제당 우,66800,66800,66100,66300,1106,73423600,0.0,0.0,0.0,0.0,6.11,4050.0
000590,CS홀딩스,35350,35350,34750,35150,470,16523500,153614.0,4.58,0.22891519083547074,7681.0,1.42,500.0
139130,DGB금융지주,13900,14200,13700,14200,181946,2535717400,0.0,0.0,0.0,0.0,0.0,0.0
069730,DSR제강,3430,3640,3430,3555,77277,274279145,5659.0,4.38,0.6283215895034459,812.0,0.7,25.0
017940,E1,53300,53800,53000,53100,6489,346459600,134826.0,5.73,0.3937024908493169,9263.0,2.82,1500.0
007700,F&F,6230,6290,6220,6280,17580,109746000,9767.0,3.52,0.6435837834032968,1786.0,3.18,200.0
114090,GKL,18750,18900,18450,18650,501778,9415351050,3308.0,16.12,5.634975816203144,1156.0,3.32,620.0
078930,GS,57200,58100,56600,57600,963926,55200128800,51352.0,6.7,1.1216677600190839,8598.0,2.17,1250.0
006360,GS건설,98300,99200,96400,99200,657909,64480548600,74159.0,12.05,1.3370976971776858,8231.0,1.01,1000.0
001250,GS글로벌,12600,12750,12500,12550,249743,3148473950,8421.0,7.68,1.4910686453509086,1635.0,3.98,500.0
007070,GS리테일,22000,22350,21400,21400,240235,5190805000,18083.0,23.05,1.1840152007410274,929.0,2.34,500.0
078935,GS우,20350,20350,20100,20200,4959,100086300,0.0,0.0,0.0,0.0,6.44,1300.0
035000,GⅡR,8650,8700,8620,8700,9510,82259000,6422.0,12.38,1.3555149778106508,703.0,1.72,150.0
001500,HMC투자증권,14350,14450,13850,14050,137879,1949957450,21296.0,13.2,0.6596602648384673,1064.0,0.0,0.0
011420,IB스포츠,1850,1860,1785,1845,47230,85978850,1113.0,83.9,1.657906558849955,22.0,0.0,0.0
003560,IHQ,4010,4115,3945,4040,1092896,4412323070,647.0,0.0,0.0,0.0,0.0,0.0
