,종목명,시가,고가,저가,종가,거래량,거래대금,BPS,PER,PBR,EPS,DIV,DPS
068400,AJ렌터카,15650,15750,15450,15450,140329,2188269200,8589.0,19.0,1.7984631505413902,813.0,0.0,0.0
006840,AK홀딩스,67900,68400,66100,66600,41275,2765406700,35485.0,9.42,1.8777370720022544,7072.0,0.3,200.0
027410,BGF리테일,67000,67800,66800,67000,87290,5852660000,7860.0,23.44,8.522185114503817,2858.0,0.6,400.0
138930,BS금융지주,15450,15500,15200,15400,419487,6439964500,17557.0,10.08,0.8771074215412656,1528.0,1.82,280.0
001460,BYC,237500,240500,237500,240000,113,27134000,414146.0,9.77,0.5798277886904618,24570.0,0.31,750.0
001465,BYC우,107000,108500,104000,105500,3349,352783000,0.0,0.0,0.0,0.0,0.76,800.0
001040,CJ,148500,155500,148000,152500,113559,17313423500,103118.0,28.88,1.4785003588122345,5280.0,0.62,950.0
079160,CJ CGV,48600,49150,48300,48800,128433,6282380400,17591.0,79.6,2.7747214484679668,613.0,0.72,350.0
000120,CJ대한통운,139000,143500,136500,143500,58161,8212534000,97222.0,0.0,0.0,0.0,0.0,0.0
011150,CJ씨푸드,2730,2850,2710,2810,863584,2401703105,1232.0,15.88,2.2818651075487013,177.0,0.0,0.0
011155,CJ씨푸드1우,7340,7340,6970,7140,444,3135390,0.0,0.0,0.0,0.0,0.0,0.0
001045,CJ우,74800,76700,74600,75700,26107,1977444200,0.0,0.0,0.0,0.0,1.32,1000.0
097950,CJ제일제당,348000,353500,345000,347000,40353,14065947500,199891.0,41.84,1.7359972122306657,8293.0,0.52,1800.0
097955,CJ제일제당 우,159500,165000,159500,164500,30887,4979734000,0.0,0.0,0.0,0.0,1.12,1850.0
037560,CJ헬로비전,13850,13950,13600,13750,253094,3468385650,11415.0,13.83,1.2041310775295664,994.0,0.55,75.0
000590,CS홀딩스,67900,67900,66400,67900,2572,172099600,153699.0,9.76,0.44180259590173,6959.0,0.0,0.0
