,종목명,시가,고가,저가,종가,거래량,거래대금,BPS,PER,PBR,EPS,DIV,DPS
068400,AJ렌터카,12850,13100,12800,12850,224398,2903467300,7647.0,14.12,1.679958235255656,910.0,0.0,0.0
006840,AK홀딩스,39050,40350,38100,40000,74156,2884047450,33073.0,1.74,1.2066880815733378,22933.0,0.38,150.0
138930,BS금융지주,15300,15550,15300,15300,370325,5692428250,16833.0,8.19,0.9090736945286045,1869.0,2.16,330.0
001460,BYC,195000,195000,191000,193000,169,32462500,396687.0,4.93,0.486684341968605,39163.0,0.44,850.0
001465,BYC우,69500,70500,69500,70500,7,487500,0.0,0.0,0.0,0.0,1.28,900.0
001040,CJ,105000,108500,104000,106500,97690,10465646000,101632.0,13.65,1.0476174919070764,7801.0,0.61,650.0
079160,CJ CGV,50800,50800,48150,49000,256744,12596047150,16762.0,18.66,2.922760559599093,2626.0,0.71,350.0
000120,CJ대한통운,102500,104500,101000,102500,31058,3183759000,100335.0,21.52,1.0213676371654956,4763.0,0.0,0.0
011150,CJ씨푸드,2680,2680,2650,2650,74985,199277750,1080.0,16.77,2.4527488425925927,158.0,0.0,0.0
011155,CJ씨푸드1우,5850,6090,5850,5940,320,1891800,0.0,0.0,0.0,0.0,0.0,0.0
001045,CJ우,37250,37700,37000,37300,6189,230166300,0.0,0.0,0.0,0.0,1.88,700.0
097950,CJ제일제당,262500,265000,260000,263500,30562,8022999500,206383.0,14.34,1.2766572040817314,18369.0,0.68,1800.0
097955,CJ제일제당 우,90800,90800,89200,90400,2278,204808500,0.0,0.0,0.0,0.0,2.05,1850.0
037560,CJ헬로비전,17650,17850,17550,17700,104073,1847424300,9354.0,11.87,1.8915946720654266,1491.0,0.0,0.0
000590,CS홀딩스,40250,44400,40250,43250,15244,656411150,146972.0,7.58,0.2943141380671148,5708.0,0.0,0.0
139130,DGB금융지주,15750,15950,15700,15850,32038,507972800,18823.0,7.77,0.8416338638235138,2039.0,2.08,330.0
004840,DRB동일,7920,8000,7790,7860,27710,218194100,12043.0,5.05,0.6521601630615296,1555.0,0.51,40.0
155660,DSR,4420,4590,4415,4435,136352,614192500,5128.0,5.85,0.8649540512870515,758.0,0.0,0.0
069730,DSR제강,3555,3655,3530,3550,55652,199255050,6964.0,41.28,0.5097914273406089,86.0,0.85,30.0
017940,E1,72300,72400,71900,72200,463,33438600,154916.0,4.78,0.46591539931317616,15096.0,2.22,1600.0
007700,F&F,6140,6170,6010,6080,6255,38075000,11083.0,11.56,0.5487571054768564,526.0,1.64,100.0
114090,GKL,32400,32400,31650,32150,176417,5637739050,5358.0,13.81,6.001399776035834,2328.0,3.79,1217.0
078930,GS,52400,53400,52200,52500,182443,9600875400,66978.0,10.06,0.7837806817163845,5217.0,2.57,1350.0
006360,GS건설,33200,33950,33200,33600,272105,9149024300,72576.0,16.3,0.4632447796103395,2063.0,0.74,250.0
001250,GS글로벌,9000,9070,8910,8930,55813,500450890,10444.0,9.86,0.8552847328609728,906.0,1.4,125.0
007070,GS리테일,32750,32900,32300,32800,91962,2995265400,19798.0,20.45,1.65604401328417,1603.0,1.22,400.0
078935,GS우,28500,28900,28500,28850,5450,156915000,0.0,0.0,0.0,0.0,4.85,1400.0
035000,GⅡR,8000,8090,7900,7900,1510,12070400,6815.0,10.42,1.1591755319148935,758.0,2.53,200.0
001500,HMC투자증권,11550,11600,11450,11550,11765,135802250,23166.0,10.99,0.49869589322714325,1051.0,1.3,150.0
011420,IB월드와이드,1670,1680,1625,1680,21765,36046750,1247.0,88.44,1.3474839615076182,19.0,0.0,0.0
003560,IHQ,2500,2630,2460,2580,628968,1603214490,842.0,23.67,3.064411371733967,109.0,0.0,0.0
175330,JB금융지주,6770,6860,6770,6850,63597,433852350,0.0,0.0,0.0,0.0,0.0,0.0
005560,JS전선,6200,6200,6100,6130,9370,57498400,11471.0,5.89,0.53406416179932,1040.0,4.89,300.0
001060,JW중외제약,17650,17900,16850,16850,111465,1914340550,14131.0,0.0,0.0,0.0,0.74,125.0
001067,JW중외제약2우B,16500,16500,16500,16500,20,330000,0.0,0.0,0.0,0.0,0.76,125.0
001065,JW중외제약우,11300,11300,11300,11300,10,113000,0.0,0.0,0.0,0.0,1.33,150.0
096760,JW홀딩스,2870,2910,2805,2840,163384,467547515,1580.0,0.0,0.0,0.0,0.88,25.0
105560,KB금융,36150,36500,35850,36150,707706,25560648650,63438.0,8.2,0.5699955074245721,4408.0,1.66,600.0
002380,KCC,375000,393000,373000,389500,66596,25660672500,468604.0,8.58,0.8307859621343394,45384.0,2.05,8000.0
009070,KCTC,17200,17400,17100,17350,600,10336000,48172.0,0.0,0.0,0.0,1.44,250.0
009440,KC그린홀딩스,11300,11550,11150,11200,184247,2089873900,5875.0,10.6,1.9073789893617021,1057.0,0.63,70.0
119650,KC코트렐,11900,12250,11650,12100,34243,409085850,7313.0,7.39,1.6553868111582115,1638.0,3.88,470.0
092220,KEC,2000,2165,1950,2040,2785846,5755170050,7810.0,0.0,0.0,0.0,0.0,0.0
109070,KGP,1990,1990,1900,1940,1670,3187550,3238.0,0.0,0.0,0.0,0.0,0.0
001390,KG케미칼,18850,19000,18350,18600,43013,798809800,16723.0,24.94,1.1124424445374634,746.0,0.81,150.0
