,종목명,시가,고가,저가,종가,거래량,거래대금,BPS,PER,PBR,EPS,DIV,DPS
138930,BS금융지주,13600,14700,13550,14450,1630857,23070497250,0.0,0.0,0.0,0.0,0.0,0.0
001460,BYC,154500,155000,153000,154000,99,15267000,309240.0,5.04,0.4981541187669771,30571.0,0.52,800.0
001465,BYC우,69200,69200,69100,69100,18,1245400,0.0,0.0,0.0,0.0,1.23,850.0
001040,CJ,77300,80400,77100,79200,334292,26348099000,82086.0,12.79,0.9647184050873474,6192.0,1.01,800.0
079160,CJ CGV,27750,27750,27000,27300,78864,2155169200,4028.0,13.84,6.777526067527309,1972.0,0.92,250.0
011150,CJ씨푸드,2875,2940,2730,2795,498603,1403337470,694.0,21.5,4.027377521613833,130.0,0.0,0.0
011155,CJ씨푸드1우,11800,11800,11300,11750,1220,14115500,0.0,0.0,0.0,0.0,0.0,0.0
001045,CJ우,23650,24000,23400,23800,11070,261408000,0.0,0.0,0.0,0.0,3.57,850.0
097950,CJ제일제당,228000,228500,222000,224500,58664,13124752000,136886.0,11.14,1.6399309918472305,20150.0,1.56,3500.0
097955,CJ제일제당 우,67800,67900,66600,67000,3585,240195100,0.0,0.0,0.0,0.0,5.3,3550.0
000590,CS홀딩스,61700,61800,59500,60100,1441,86750900,215862.0,4.21,0.27821659497734663,14262.0,0.0,0.0
069730,DSR제강,4470,4570,4310,4345,359359,1599317520,4867.0,3.79,0.8914067315594822,1145.0,0.58,25.0
017940,E1,53000,53000,50000,50400,7150,364173300,122433.0,0.0,0.0,0.0,2.98,1500.0
007700,F&F,7980,8150,7950,8000,10973,88324400,7962.0,7.48,1.004348291101482,1069.0,1.88,150.0
114090,GKL,15800,15800,15150,15400,482050,7409121500,3088.0,9.19,4.986479922279793,1676.0,6.67,1027.0
078930,GS,102000,104500,100000,100500,1798625,183846770500,43120.0,18.89,2.3310996202458254,5321.0,1.0,1000.0
006360,GS건설,117000,122000,116500,118500,632631,75078561500,68354.0,15.32,1.7341085790517015,7737.0,0.84,1000.0
