,종목명,시가,고가,저가,종가,거래량,거래대금,BPS,PER,PBR,EPS,DIV,DPS
138930,BS금융지주,12100,12250,11950,12200,578588,7006107200,0.0,0.0,0.0,0.0,0.0,0.0
001460,BYC,156000,157500,153500,154500,59,9149000,337506.0,4.43,0.45760811474462676,34866.0,0.55,850.0
001465,BYC우,71000,72000,71000,72000,2,143000,0.0,0.0,0.0,0.0,1.25,900.0
001040,CJ,80600,81000,78100,78500,148841,11763795100,112408.0,13.53,0.6981820688918938,5800.0,1.02,800.0
079160,CJ CGV,26000,26000,25250,25450,37440,954948600,4539.0,15.74,5.608089268010575,1617.0,0.98,250.0
011150,CJ씨푸드,2830,2835,2740,2770,787164,2190657590,839.0,19.38,3.3022943980929678,143.0,0.0,0.0
011155,CJ씨푸드1우,9300,9350,9160,9250,2090,19270000,0.0,0.0,0.0,0.0,0.0,0.0
001045,CJ우,20050,20100,19900,19900,860,17178000,0.0,0.0,0.0,0.0,4.27,850.0
097950,CJ제일제당,305500,309000,290500,302500,139817,41665289000,208403.0,6.0,1.450315014659098,50375.0,1.32,4000.0
097955,CJ제일제당 우,69100,69500,68700,69000,1678,116199800,0.0,0.0,0.0,0.0,5.87,4050.0
000590,CS홀딩스,40350,45000,40350,41700,15611,685684650,153614.0,5.43,0.2714949788918979,7681.0,1.2,500.0
139130,DGB금융지주,14450,14500,14050,14250,362883,5172083250,0.0,0.0,0.0,0.0,0.0,0.0
069730,DSR제강,3490,3535,3460,3500,11840,41377800,5659.0,4.31,0.6182325720091889,812.0,0.71,25.0
017940,E1,50200,50400,49850,50000,11190,560142500,134826.0,5.4,0.37089082641701154,9263.0,3.0,1500.0
007700,F&F,6860,6930,6510,6660,11566,77777060,9767.0,3.73,0.6821559524418962,1786.0,3.0,200.0
114090,GKL,18350,18700,18150,18350,540331,9901215150,3308.0,15.87,5.544881726118501,1156.0,3.38,620.0
078930,GS,65500,66100,63900,65000,743317,48345916100,51352.0,7.56,1.2655551694675962,8598.0,1.92,1250.0
006360,GS건설,98500,98900,94600,95400,336369,32333363600,74159.0,11.59,1.286804787685918,8231.0,1.05,1000.0
001250,GS글로벌,12200,12250,11700,11800,73597,879396600,8421.0,7.22,1.4015741895261846,1635.0,4.24,500.0
078935,GS우,22200,22400,22100,22200,6270,139398500,0.0,0.0,0.0,0.0,5.86,1300.0
035000,GⅡR,9020,9100,9000,9100,33540,302025400,6422.0,12.94,1.4162352071005917,703.0,1.65,150.0
001500,HMC투자증권,14800,14900,14650,14700,57640,850066000,21296.0,13.82,0.6904964547332832,1064.0,0.0,0.0
