,종목명,시가,고가,저가,종가,거래량,거래대금,BPS,PER,PBR,EPS,DIV,DPS
095570,AJ네트웍스,4670,4925,4640,4800,110093,524602910,6168.0,15.0,0.7782101167315175,320.0,1.79,86.0
068400,AJ렌터카,12150,12450,12050,12350,103767,1270242000,11091.0,21.6,1.1136619781805066,572.0,0.0,0.0
006840,AK홀딩스,50300,50700,49950,50200,11800,592636250,52954.0,6.5,0.9484741473731918,7727.0,1.29,650.0
027410,BGF,7730,7760,7600,7660,100927,774126250,21952.0,0.1,0.3414071530711894,74964.0,2.61,200.0
282330,BGF리테일,185000,186000,183000,183500,14067,2590293500,22486.0,113.3,8.15854031397314,1619.0,0.54,1000.0
138930,BNK금융지주,6940,6970,6860,6910,1015596,7015524510,21653.0,5.76,0.31931198910081743,1200.0,3.33,230.0
001460,BYC,241500,241500,240000,241000,325,78485500,475434.0,32.5,0.5068106193498992,7414.0,0.35,850.0
001465,BYC우,110000,110000,109500,110000,134,14712000,0.0,0.0,0.0,0.0,0.82,900.0
001040,CJ,118000,118500,117000,118000,49122,5772518000,117874.0,7.68,1.0005341376172863,15357.0,1.23,1450.0
079160,CJ CGV,39700,40000,39650,39700,97284,3868384700,14554.0,0.0,0.0,0.0,0.88,350.0
000120,CJ대한통운,168000,170000,167500,169000,35585,6004128500,103964.0,94.6,1.6255650994575046,1786.0,0.0,0.0
011150,CJ씨푸드,2400,2415,2370,2390,47637,113759105,1662.0,18.81,1.4375376052948254,127.0,0.0,0.0
011155,CJ씨푸드1우,28100,28100,27700,28000,159,4425700,0.0,0.0,0.0,0.0,0.0,0.0
001045,CJ우,51500,54000,51200,53600,6087,322542600,0.0,0.0,0.0,0.0,2.8,1500.0
097950,CJ제일제당,339500,341500,336500,340000,23884,8101557500,232686.0,12.99,1.4617229939166947,26179.0,0.88,3000.0
097955,CJ제일제당 우,129500,130500,128000,129500,5823,752997500,0.0,0.0,0.0,0.0,2.36,3050.0
037560,CJ헬로,10050,10300,10000,10200,192652,1951998350,12746.0,27.34,0.8001897654166013,373.0,0.74,75.0
000590,CS홀딩스,63700,64100,62600,63000,648,40895300,187283.0,12.26,0.33628594493360314,5138.0,0.79,500.0
012030,DB,863,872,850,872,501646,433003041,735.0,0.0,0.0,0.0,0.0,0.0
016610,DB금융투자,4690,4690,4575,4615,46722,215496890,14360.0,43.12,0.32133530640668523,107.0,2.17,100.0
005830,DB손해보험,67500,68200,67000,67700,155110,10445375000,65368.0,6.48,1.0354989611698384,10445.0,3.4,2300.0
000990,DB하이텍,11600,11650,11100,11150,350935,3955834000,10240.0,4.38,1.088739776611328,2546.0,2.24,250.0
000995,DB하이텍1우,34150,36450,33550,36300,846,29925200,0.0,0.0,0.0,0.0,0.83,300.0
139130,DGB금융지주,8360,8390,8290,8360,683867,5710705530,23088.0,4.68,0.36220554238132363,1787.0,4.07,340.0
004840,DRB동일,6700,6710,6650,6700,2509,16769370,16974.0,7.17,0.39463480911983034,934.0,1.49,100.0
155660,DSR,4145,4145,4030,4085,27767,112897220,8721.0,5.9,0.4680333390666208,692.0,1.22,50.0
069730,DSR제강,4735,4795,4660,4690,56554,265594670,9032.0,13.48,0.5192475365367581,348.0,0.85,40.0
017940,E1,60000,60700,59100,60300,8832,532042000,171187.0,4.13,0.3521414082260919,14600.0,3.32,2000.0
007700,F&F,39050,39050,38300,38400,47172,1815940500,19218.0,7.9,1.9986523864345926,4863.0,1.69,650.0
114090,GKL,25250,25450,25000,25100,137657,3466944150,8602.0,19.28,2.918412869100209,1302.0,2.91,730.0
078930,GS,52200,52400,51700,52100,74300,3867392200,81628.0,5.0,0.6380163669329152,10416.0,3.45,1800.0
006360,GS건설,45100,45650,43800,44250,378398,16744022600,44190.0,0.0,0.0,0.0,0.68,300.0
001250,GS글로벌,2695,2715,2655,2710,182232,489688725,4452.0,10.54,0.6083870311096137,257.0,0.92,25.0
007070,GS리테일,35550,35800,34900,35350,227995,8039229800,26369.0,23.03,1.340701913231446,1535.0,1.7,600.0
078935,GS우,35000,35200,34750,35100,2272,79382150,0.0,0.0,0.0,0.0,5.27,1850.0
012630,HDC,16050,16150,15950,16050,188531,3028396050,38991.0,2.79,0.41223275082711397,5763.0,6.23,1000.0
039570,HDC아이콘트롤스,9900,9900,9750,9860,17244,169230140,11953.0,6.83,0.8243105810256839,1443.0,2.54,250.0
089470,HDC현대EP,4900,5100,4785,4845,211298,1039051485,8772.0,4.84,0.5528412491450069,1002.0,2.48,120.0
294870,HDC현대산업개발,42950,43500,42550,43100,94847,4074124650,0.0,0.0,0.0,0.0,0.0,0.0
082740,HSD엔진,5780,5820,5650,5780,127828,733447480,7389.0,0.0,0.0,0.0,0.0,0.0
003560,IHQ,1760,1820,1760,1805,748943,1379068545,1558.0,100.25,1.1582156611039796,18.0,0.0,0.0
175330,JB금융지주,5680,5680,5630,5650,138016,779242310,15630.0,4.68,0.3613808581253999,1207.0,1.77,100.0
234080,JW생명과학,21450,21800,21200,21550,40651,872332800,6448.0,20.33,3.3417823356079404,1060.0,2.32,500.0
001060,JW중외제약,40650,41150,39800,40850,50954,2064373800,12302.0,0.0,0.0,0.0,0.67,275.0
001067,JW중외제약2우B,42650,42750,42350,42700,587,24913650,0.0,0.0,0.0,0.0,0.64,275.0
001065,JW중외제약우,25350,25400,25000,25050,385,9658350,0.0,0.0,0.0,0.0,1.2,300.0
096760,JW홀딩스,7050,7120,7030,7070,67969,480710050,2601.0,8.38,2.720143694732795,844.0,1.06,75.0
105560,KB금융,45600,45800,45300,45750,1365448,62180243600,81411.0,5.51,0.5622682956695041,8305.0,4.2,1920.0
002380,KCC,307000,317500,307000,317000,37097,11694236000,554654.0,74.6,0.5716746386035259,4249.0,2.84,9000.0
009070,KCTC,3975,4160,3735,3770,508606,1989392890,6092.0,12.65,0.6187187089625739,298.0,0.93,35.0
009440,KC그린홀딩스,3990,4050,3970,4030,43890,175918745,7226.0,17.38,0.557846664821478,232.0,2.73,110.0
119650,KC코트렐,5200,5540,5030,5490,374450,1979011860,5861.0,10.62,0.9365442650571575,517.0,1.82,100.0
092220,KEC,1195,1200,1145,1160,1163007,1359202205,1961.0,116.0,0.5915349311575727,10.0,1.03,12.0
001390,KG케미칼,18350,18400,17800,17850,72754,1312081200,19661.0,47.34,0.9078171888510249,377.0,1.96,350.0
