,종목명,시가,고가,저가,종가,거래량,거래대금,BPS,PER,PBR,EPS,DIV,DPS
095570,AJ네트웍스,27600,28150,27300,27650,16491,454918250,28067.0,11.56,0.9849979513307443,2391.0,0.0,0.0
068400,AJ렌터카,8160,8440,8150,8420,116684,968750710,10172.0,10.64,0.8274414446519859,791.0,0.0,0.0
006840,AK홀딩스,53100,54100,53100,54000,29034,1552123800,42342.0,0.0,0.0,0.0,0.93,500.0
027410,BGF리테일,89900,89900,86000,86000,67299,5857402500,15615.0,27.56,5.508969740634006,3121.0,1.4,1200.0
138930,BNK금융지주,8950,8950,8640,8850,1512595,13231783410,22104.0,4.68,0.40013614617263843,1890.0,1.69,150.0
001460,BYC,400000,400500,394000,400000,187,74471000,450114.0,19.23,0.8889585818814789,20803.0,0.21,850.0
001465,BYC우,173000,174000,172000,174000,211,36368000,0.0,0.0,0.0,0.0,0.52,900.0
001040,CJ,175500,181500,175500,179500,83400,14955006500,114710.0,24.8,1.5655040428035916,7242.0,0.75,1350.0
079160,CJ CGV,58600,61800,58600,61700,107954,6535367000,19899.0,25.12,3.099747474747475,2455.0,0.57,350.0
000120,CJ대한통운,184000,184000,179000,181500,41957,7572475000,101842.0,68.9,1.7827075273462816,2636.0,0.0,0.0
011150,CJ씨푸드,3670,3865,3495,3615,4386679,16117933435,1384.0,50.9,2.6115200505780347,71.0,0.0,0.0
011155,CJ씨푸드1우,22650,22650,20900,21550,52419,1142533950,0.0,0.0,0.0,0.0,0.0,0.0
001045,CJ우,71400,73900,71300,73300,7557,549374900,0.0,0.0,0.0,0.0,1.91,1400.0
097950,CJ제일제당,385000,386000,380000,381500,20726,7923364500,216981.0,28.47,1.7582632523124144,13401.0,0.66,2500.0
097955,CJ제일제당 우,179000,181000,176500,177500,3027,540427000,0.0,0.0,0.0,0.0,1.44,2550.0
037560,CJ헬로비전,8800,9110,8800,9030,155268,1402667840,12282.0,11.7,0.7356141100797916,772.0,0.83,75.0
000590,CS홀딩스,77500,77900,76600,77400,132,10201700,177390.0,4.11,0.436304012345679,18834.0,0.0,0.0
139130,DGB금융지주,9720,9840,9680,9790,454631,4435032080,20624.0,5.57,0.47508629206264547,1759.0,2.86,280.0
004840,DRB동일,10900,11300,10850,11250,15242,170267950,16422.0,4.73,0.6847110107630009,2377.0,0.53,60.0
155660,DSR,9700,10400,9640,9850,1430798,14329413880,7546.0,15.86,1.3051513218923934,621.0,0.51,50.0
069730,DSR제강,9460,9900,9300,9300,881148,8481801380,8199.0,13.58,1.134408540675692,685.0,0.43,40.0
017940,E1,62300,62600,61700,61700,3137,194021400,167698.0,35.78,0.3680583921692566,1725.0,4.21,2600.0
007700,F&F,17100,17300,16900,17000,37070,632220950,12964.0,21.05,1.3117768435668005,808.0,1.18,200.0
114090,GKL,20450,20750,20400,20550,203880,4192862200,7376.0,13.86,2.7865310635845986,1483.0,4.04,831.0
078930,GS,55500,55700,54700,55100,218996,12045981800,66746.0,10.6,0.825621338731909,5198.0,2.72,1500.0
006360,GS건설,24700,25000,24550,24800,179215,4447372100,46258.0,68.3,0.5360680855203425,363.0,0.0,0.0
001250,GS글로벌,2745,2835,2745,2825,943638,2647855580,6368.0,0.0,0.0,0.0,0.0,0.0
007070,GS리테일,47500,47500,46750,46950,90773,4265812750,23281.0,22.02,2.017066626218805,2133.0,1.81,850.0
078935,GS우,34250,34550,34150,34150,4221,145121250,0.0,0.0,0.0,0.0,4.54,1550.0
001500,HMC투자증권,9370,9440,9330,9400,20906,195818850,24542.0,5.48,0.38319959151658384,1716.0,4.79,450.0
003560,IHQ,1850,1890,1845,1845,222823,415149355,1489.0,47.3,1.2392125587642713,39.0,0.0,0.0
175330,JB금융지주,5730,5740,5670,5720,142339,811257640,13767.0,6.49,0.4152085262766035,881.0,0.87,50.0
234080,JW생명과학,23500,24150,23350,23700,88080,2080966350,10462.0,14.58,2.2643331222519594,1625.0,3.41,808.0
001060,JW중외제약,47750,50500,47700,49700,285496,14112861750,12687.0,414.2,3.918183967841097,120.0,0.3,150.0
001067,JW중외제약2우B,41150,43800,41150,42200,4913,208219750,0.0,0.0,0.0,0.0,0.36,150.0
001065,JW중외제약우,24300,25100,24300,25000,1331,33062000,0.0,0.0,0.0,0.0,0.7,175.0
096760,JW홀딩스,8130,8520,8130,8270,188179,1563356570,1865.0,4136.0,4.43538873994638,2.0,0.54,45.0
105560,KB금융,41750,41750,40550,40850,1148800,47131367200,74234.0,9.29,0.5500810780774308,4396.0,2.4,980.0
002550,KB손해보험,28900,29000,28750,28950,109280,3156372750,34678.0,9.29,0.8349388030595767,3117.0,1.38,400.0
002380,KCC,372500,374000,368500,371000,17551,6502165000,554909.0,19.81,0.6687369010053901,18730.0,2.43,9000.0
009070,KCTC,3285,3395,3265,3330,11351,37603730,5678.0,11.25,0.5864741106023248,296.0,1.05,35.0
009440,KC그린홀딩스,7240,7300,7200,7220,36192,261811640,6859.0,11.74,1.0528422966175828,615.0,1.11,80.0
119650,KC코트렐,5290,5490,5250,5320,50478,269453810,5122.0,0.0,0.0,0.0,0.0,0.0
092220,KEC,921,950,921,947,196638,184246900,2181.0,72.9,0.43437643282897753,13.0,0.0,0.0
