,종목명,시가,고가,저가,종가,거래량,거래대금,BPS,PER,PBR,EPS,DIV,DPS
095570,AJ네트웍스,36500,36500,35700,35700,3575,128577850,28067.0,14.93,1.2718453276980084,2391.0,0.0,0.0
068400,AJ렌터카,9440,9490,9170,9230,226191,2105639460,10172.0,11.67,0.9076340075697994,791.0,0.0,0.0
006840,AK홀딩스,60300,62300,60100,60900,54171,3307273400,42342.0,0.0,0.0,0.0,0.82,500.0
027410,BGF리테일,215500,217000,212500,214000,42572,9144168500,31211.0,34.3,6.8589820095479155,6239.0,0.56,1200.0
138930,BNK금융지주,8580,8590,8450,8560,868432,7401090650,22104.0,4.53,0.38744401465798045,1890.0,1.75,150.0
001460,BYC,438000,445000,433500,445000,102,44816000,450114.0,21.39,0.9886143774132775,20803.0,0.19,850.0
001465,BYC우,195000,197500,195000,197500,231,45124500,0.0,0.0,0.0,0.0,0.46,900.0
001040,CJ,220500,221000,215000,217000,92087,20042216500,114710.0,29.95,1.8910341840292912,7242.0,0.62,1350.0
079160,CJ CGV,118500,118500,114000,115000,133329,15365041000,19899.0,46.84,5.779255553042867,2455.0,0.3,350.0
000120,CJ대한통운,205000,210000,205000,207000,32061,6658355500,101842.0,78.5,2.0318336246342374,2636.0,0.0,0.0
011150,CJ씨푸드,3640,3645,3525,3525,217089,773608195,1384.0,49.66,2.5473943280346822,71.0,0.0,0.0
011155,CJ씨푸드1우,15700,15900,15300,15300,1068,16516900,0.0,0.0,0.0,0.0,0.0,0.0
001045,CJ우,104000,104000,100000,103500,5404,550510500,0.0,0.0,0.0,0.0,1.35,1400.0
097950,CJ제일제당,382000,383500,372000,382000,112510,42463759500,216981.0,28.52,1.7611583070637522,13401.0,0.65,2500.0
097955,CJ제일제당 우,211500,211500,207000,208000,3687,768455500,0.0,0.0,0.0,0.0,1.23,2550.0
037560,CJ헬로비전,11900,12200,11750,12150,102897,1236493600,12282.0,15.74,0.9894942802475167,772.0,0.62,75.0
000590,CS홀딩스,76500,76600,76400,76600,376,28763800,177390.0,4.07,0.43215663580246916,18834.0,0.0,0.0
139130,DGB금융지주,8730,8740,8540,8580,355347,3051906330,20624.0,4.88,0.416116955670578,1759.0,3.26,280.0
004840,DRB동일,12950,12950,12750,12900,28043,359380050,16422.0,5.43,0.7859193269699184,2377.0,0.47,60.0
155660,DSR,4345,4435,4325,4350,52102,227969865,7546.0,7.0,0.5760667903525046,621.0,1.15,50.0
069730,DSR제강,3770,3900,3765,3900,29693,114760600,8199.0,5.69,0.47549863169288936,685.0,1.03,40.0
017940,E1,61700,61800,61100,61400,2555,156595300,167698.0,35.6,0.36612970190461425,1725.0,4.23,2600.0
007700,F&F,12900,12950,12550,12700,36615,465254050,12964.0,15.72,0.9796937673557544,808.0,1.57,200.0
114090,GKL,27850,27950,27000,27350,261654,7155813500,7376.0,18.44,3.7069973562906724,1483.0,3.04,831.0
078930,GS,51300,51400,50300,50800,175951,8927675600,66746.0,9.77,0.761129178152998,5198.0,2.95,1500.0
006360,GS건설,29150,29450,28400,28600,392658,11284920000,46258.0,78.8,0.6184646439534783,363.0,0.0,0.0
001250,GS글로벌,2935,3045,2920,2965,164865,490644880,6368.0,0.0,0.0,0.0,0.0,0.0
007070,GS리테일,53700,54100,51700,51800,557853,29235312100,23281.0,24.3,2.2260742397233795,2133.0,1.64,850.0
078935,GS우,34600,34600,33850,34250,1576,53660200,0.0,0.0,0.0,0.0,4.53,1550.0
001500,HMC투자증권,10000,10050,9850,9900,39899,394477590,24542.0,5.77,0.4034111166571592,1716.0,4.55,450.0
003560,IHQ,2465,2535,2445,2490,2433085,6065257425,1489.0,63.84,1.6722003022162526,39.0,0.0,0.0
175330,JB금융지주,5530,5530,5410,5410,125194,680523770,13767.0,6.14,0.3929607485290913,881.0,0.92,50.0
001060,JW중외제약,50500,53200,49400,50100,535767,27393670000,12687.0,417.5,3.948924095530858,120.0,0.3,150.0
001067,JW중외제약2우B,38950,40500,38800,39100,974,38925650,0.0,0.0,0.0,0.0,0.38,150.0
001065,JW중외제약우,29450,30000,28000,29300,8007,234072250,0.0,0.0,0.0,0.0,0.6,175.0
096760,JW홀딩스,12250,13300,11950,12550,1449547,18370405550,1865.0,6276.0,6.73029490616622,2.0,0.36,45.0
105560,KB금융,33150,33300,33000,33050,478448,15847186000,74234.0,7.52,0.4452927145916965,4396.0,2.97,980.0
002550,KB손해보험,31100,31500,30750,30750,78189,2417527150,34678.0,9.87,0.8869030347050003,3117.0,1.3,400.0
002380,KCC,394000,395500,392500,393000,13205,5196338500,554909.0,20.98,0.7082915284307878,18730.0,2.29,9000.0
009070,KCTC,3550,3550,3450,3485,11361,39454455,5678.0,11.77,0.6137614476928496,296.0,1.0,35.0
009440,KC그린홀딩스,7660,7680,7520,7580,104310,790827050,6859.0,12.33,1.1053793373669631,615.0,1.06,80.0
119650,KC코트렐,5130,5230,5050,5080,116335,594352490,5122.0,0.0,0.0,0.0,0.0,0.0
092220,KEC,1175,1180,1140,1155,782864,904934585,2485.0,77.0,0.4647887323943662,15.0,0.0,0.0
109070,KGP,1725,1725,1620,1650,1408193,2335611245,321.0,0.0,0.0,0.0,0.0,0.0
001390,KG케미칼,14700,14700,14200,14450,45184,649774150,17281.0,9.23,0.8361088406342225,1566.0,2.42,350.0
001940,KISCO홀딩스,67700,68200,65600,67700,6116,412261100,190722.0,4.74,0.3548456449373958,14283.0,1.33,900.0
083420,KPX그린케미칼,4355,4355,4205,4265,10244,43620545,5797.0,24.1,0.7356552958426772,177.0,3.75,160.0
025000,KPX케미칼,52200,52200,51000,51000,2413,124315100,82337.0,7.32,0.6195020161045459,6968.0,3.43,1750.0
092230,KPX홀딩스,60400,60500,59800,60100,1284,77074300,131838.0,7.22,0.4557781140490602,8324.0,3.49,2100.0
000040,KR모터스,1120,1130,1095,1110,1205220,1335775045,390.0,0.0,0.0,0.0,0.0,0.0
044450,KSS해운,16350,16450,16300,16350,10725,175245800,18298.0,8.05,0.8931688230954202,2031.0,1.59,260.0
030200,KT,32050,32450,32000,32100,701635,22650623600,41534.0,14.22,0.7730037439206433,2258.0,1.56,500.0
033780,KT&G,126500,129000,126000,126000,194572,24750771000,45224.0,15.32,2.7853265826773397,8222.0,2.7,3400.0
030210,KTB투자증권,2440,2450,2370,2370,315454,756402190,5955.0,6.25,0.3977749790092359,379.0,0.0,0.0
058850,KTcs,2720,2760,2675,2700,335152,902215730,3453.0,9.12,0.7815486533449174,296.0,3.7,100.0
093050,LF,23300,23600,22950,23450,82223,1921391050,34790.0,13.46,0.6740141743317045,1742.0,2.13,500.0
003550,LG,65800,65800,64400,64500,193969,12594494900,73778.0,12.01,0.8741625001694272,5371.0,2.02,1300.0
034220,LG디스플레이,25750,26000,25400,25600,827666,21228217050,34076.0,9.48,0.7511502322015495,2701.0,1.95,500.0
001120,LG상사,37050,38050,37000,37450,164290,6202008600,30942.0,0.0,0.0,0.0,0.53,200.0
068870,LG생명과학,71000,71900,70300,70400,105008,7450287100,15312.0,102.6,4.59775013061651,686.0,0.0,0.0
068875,LG생명과학우,42100,42500,41700,42100,1132,47619350,0.0,0.0,0.0,0.0,0.0,0.0
051900,LG생활건강,1004000,1020000,1001000,1001000,27259,27370309704,114985.0,36.44,8.703994542766448,27467.0,0.55,5500.0
051905,LG생활건강우,617000,625000,607000,616000,10878,6709005000,0.0,0.0,0.0,0.0,0.9,5550.0
003555,LG우,43700,44050,43100,43400,1864,80672600,0.0,0.0,0.0,0.0,3.11,1350.0
032640,LG유플러스,11150,11650,11150,11500,1379219,15700018350,10187.0,14.29,1.1291543449985275,805.0,2.17,250.0
011070,LG이노텍,82900,83400,81900,82200,185894,15355400200,74578.0,20.45,1.1019423455978976,4018.0,0.43,350.0
066570,LG전자,52900,53700,52800,53000,519211,27672254000,64294.0,77.25,0.8242370983295486,686.0,0.75,400.0
066575,LG전자우,28600,29550,28600,29400,12095,352935300,0.0,0.0,0.0,0.0,1.53,450.0
108670,LG하우시스,138000,139500,136000,136500,20745,2842255000,87452.0,18.98,1.560178190607419,7187.0,1.32,1800.0
108675,LG하우시스우,77700,78000,76600,78000,478,36820200,0.0,0.0,0.0,0.0,2.37,1850.0
051910,LG화학,274000,276500,270000,270000,134599,36575157000,175798.0,17.23,1.5366022011058147,15674.0,1.67,4500.0
051915,LG화학우,189500,194000,188500,194000,5582,1070506000,0.0,0.0,0.0,0.0,2.35,4550.0
079550,LIG넥스원,99100,100000,95800,96100,138329,13474427500,26231.0,23.77,3.6639162632000306,4044.0,0.98,940.0
006260,LS,53400,53900,52300,53200,69940,3726044400,71509.0,0.0,0.0,0.0,2.35,1250.0
000680,LS네트웍스,3380,3380,3320,3340,10643,35418130,8753.0,0.0,0.0,0.0,0.0,0.0
010120,LS산전,49850,50500,49150,49200,79309,3944920250,33775.0,20.53,1.4570956698741673,2397.0,2.03,1000.0
023150,MH에탄올,7700,7700,7560,7590,21048,160027820,7845.0,7.14,0.9675569630337795,1063.0,3.29,250.0
035420,NAVER,690000,703000,686000,694000,55240,38473945000,64452.0,39.38,10.76379514987898,17619.0,0.16,1100.0
181710,NHN엔터테인먼트,61400,62300,61400,61500,87483,5406121600,72935.0,6.86,0.8435145591965448,8969.0,0.0,0.0
005940,NH투자증권,9100,9170,9000,9000,861895,7794709410,15127.0,12.52,0.5952503181397502,719.0,4.44,400.0
005945,NH투자증권우,6530,6530,6390,6390,31534,202805370,0.0,0.0,0.0,0.0,7.04,450.0
034310,NICE,22550,22750,22200,22300,48249,1083083650,12414.0,28.34,1.7968850692766232,787.0,0.54,120.0
