,종목명,시가,고가,저가,종가,거래량,거래대금,BPS,PER,PBR,EPS,DIV,DPS
068400,AJ렌터카,16500,17050,16250,16750,291612,4873491600,8589.0,20.6,1.9493210792874607,813.0,0.0,0.0
006840,AK홀딩스,61500,62100,60600,61100,16330,1000411900,36611.0,8.37,1.6674496735953674,7296.0,0.33,200.0
027410,BGF리테일,56400,59300,55500,58300,371638,21417004800,7860.0,20.4,7.419982506361323,2858.0,0.69,400.0
138930,BS금융지주,16450,16550,16350,16450,322431,5306644150,18104.0,10.44,0.9086113566062749,1576.0,1.7,280.0
001460,BYC,232000,232000,229000,230500,14,3229000,414146.0,9.38,0.5566532168003554,24570.0,0.33,750.0
001465,BYC우,96700,96700,93300,96000,97,9139000,0.0,0.0,0.0,0.0,0.83,800.0
001040,CJ,139000,142000,137500,140500,59320,8337500500,103118.0,26.61,1.3624924843383308,5280.0,0.68,950.0
079160,CJ CGV,46500,46850,46350,46400,85650,3976885800,17591.0,75.7,2.637509948269001,613.0,0.75,350.0
000120,CJ대한통운,115000,115500,114000,114000,36458,4190037500,97222.0,0.0,0.0,0.0,0.0,0.0
011150,CJ씨푸드,2605,2630,2580,2595,131721,342521765,1232.0,14.66,2.1056463068181817,177.0,0.0,0.0
011155,CJ씨푸드1우,6940,6940,6880,6880,30,210400,0.0,0.0,0.0,0.0,0.0,0.0
001045,CJ우,68200,69100,68000,69000,18721,1285427400,0.0,0.0,0.0,0.0,1.45,1000.0
097950,CJ제일제당,325000,327500,322500,326000,39485,12826158000,199891.0,39.3,1.6309816975251512,8293.0,0.55,1800.0
097955,CJ제일제당 우,158000,158000,155500,157000,5242,821366500,0.0,0.0,0.0,0.0,1.18,1850.0
037560,CJ헬로비전,15200,15350,15100,15100,277021,4217437650,11415.0,15.19,1.322503285151117,994.0,0.5,75.0
000590,CS홀딩스,65200,66600,65100,66600,3233,212758600,153699.0,9.57,0.4333131945393269,6959.0,0.0,0.0
139130,DGB금융지주,15700,15850,15650,15800,168958,2665455900,20208.0,8.89,0.781801297753365,1777.0,1.77,280.0
004840,DRB동일,11500,11500,11200,11300,50035,566982500,12922.0,4.78,0.8754401408450704,2366.0,0.35,40.0
155660,DSR,4200,4255,4160,4200,66811,282266555,6520.0,9.31,0.6441621932515338,451.0,0.71,30.0
069730,DSR제강,4150,4250,3865,4160,101312,419935020,7038.0,33.03,0.5913523017902813,126.0,0.72,30.0
017940,E1,72700,73500,72700,73300,3865,282697100,161614.0,11.34,0.45357031259668096,6462.0,2.73,2000.0
007700,F&F,8710,9000,8710,8870,14370,127751700,11526.0,16.31,0.7699115044247787,544.0,1.13,100.0
114090,GKL,41000,41500,40600,40900,245354,10037393450,6395.0,18.39,6.39573885848319,2224.0,2.88,1179.0
078930,GS,45850,45900,45450,45450,180594,8257156550,69423.0,12.03,0.6547406839231955,3778.0,2.97,1350.0
006360,GS건설,37300,37500,36250,36950,422557,15566792000,56156.0,0.0,0.0,0.0,0.0,0.0
001250,GS글로벌,9400,9500,9360,9450,29637,278421100,11192.0,11.16,0.8442944737312366,847.0,1.32,125.0
007070,GS리테일,24200,24400,24000,24200,185970,4504176450,20969.0,15.65,1.1537261850827412,1546.0,1.86,450.0
078935,GS우,28350,28850,28350,28750,5620,160333500,0.0,0.0,0.0,0.0,4.87,1400.0
035000,GⅡR,8020,8190,7950,8170,7140,57660900,7298.0,11.07,1.1194698033707866,738.0,2.45,200.0
001500,HMC투자증권,10700,10700,10500,10550,41930,442902500,22736.0,0.0,0.0,0.0,0.0,0.0
011420,IB월드와이드,2440,2525,2420,2495,111383,276427955,1095.0,0.0,0.0,0.0,0.0,0.0
003560,IHQ,2860,2930,2810,2890,641796,1855794940,882.0,963.5,3.2772108843537415,3.0,0.0,0.0
175330,JB금융지주,7640,7640,7460,7540,408954,3078501930,11789.0,18.56,0.6392717787768258,406.0,1.33,100.0
001060,JW중외제약,18250,18300,18000,18150,14765,268060300,14334.0,104.94,1.266512313380773,173.0,0.69,125.0
001067,JW중외제약2우B,17900,17900,17150,17500,1250,21882500,0.0,0.0,0.0,0.0,0.71,125.0
001065,JW중외제약우,12100,12850,12100,12500,590,7382500,0.0,0.0,0.0,0.0,1.2,150.0
096760,JW홀딩스,2885,2980,2850,2950,82710,242023850,2050.0,8.43,1.4392149390243902,350.0,0.85,25.0
105560,KB금융,35800,36200,35500,35700,1021830,36569018400,66398.0,10.94,0.5375020708455074,3263.0,1.4,500.0
002380,KCC,588000,591000,578000,584000,24364,14189689000,481084.0,23.1,1.2143463381654762,25297.0,1.37,8000.0
009070,KCTC,3070,3070,2960,2970,24370,73065450,4877.0,29.7,0.609045007176543,100.0,0.84,25.0
009440,KC그린홀딩스,8280,8320,7960,8050,657669,5320841170,6567.0,19.27,1.2262876884422111,418.0,1.24,100.0
119650,KC코트렐,7900,7900,7300,7380,164901,1244692110,7182.0,19.38,1.0278299916457811,381.0,1.36,100.0
092220,KEC,1030,1065,1015,1045,470330,490510735,2536.0,0.0,0.0,0.0,0.0,0.0
109070,KGP,770,770,763,767,3520,2702040,414.0,0.0,0.0,0.0,0.0,0.0
001390,KG케미칼,18350,18600,18300,18500,14752,272575000,18596.0,41.75,0.9945821682082168,443.0,5.41,1000.0
001940,KISCO홀딩스,46000,46700,46000,46700,261,12152200,179350.0,11.28,0.2603462155004182,4139.0,1.93,900.0
192530,KJB금융지주,11500,12700,11050,11700,3035767,36140120850,0.0,0.0,0.0,0.0,0.0,0.0
192520,KNB금융지주,13350,14850,13000,13650,5088953,70005859850,0.0,0.0,0.0,0.0,0.0,0.0
083420,KPX그린케미칼,5750,5900,5720,5840,9480,55010500,5311.0,10.92,1.1002077057051403,535.0,2.57,150.0
025000,KPX케미칼,65500,65600,64300,65200,694,45178700,71094.0,12.56,0.9170868849691957,5190.0,2.3,1500.0
092230,KPX홀딩스,51200,51500,50500,51100,50941,2622725800,122279.0,30.78,0.41787122073291405,1660.0,4.01,2050.0
025850,KPX화인케미칼,21000,22000,20700,21500,37336,800577500,23596.0,0.0,0.0,0.0,0.0,0.0
000040,KR모터스,1010,1115,1000,1085,5276385,5684167450,480.0,0.0,0.0,0.0,0.0,0.0
044450,KSS해운,13750,14200,13750,14100,21078,296475800,13836.0,6.17,1.0197243603642672,2286.0,0.92,130.0
030200,KT,31850,32050,31500,31700,753678,23896251250,45020.0,0.0,0.0,0.0,2.52,800.0
033780,KT&G,85500,86100,85200,85800,213664,18313331800,38421.0,18.94,2.234290817521668,4533.0,3.73,3200.0
030210,KTB투자증권,2640,2650,2595,2600,179681,470631880,6039.0,0.0,0.0,0.0,0.0,0.0
058850,KTcs,3440,3440,3390,3390,76964,262247330,2690.0,10.27,1.2603101765799256,330.0,3.54,120.0
093050,LF,27050,27050,26600,26900,64249,1720641500,31274.0,11.54,0.8604301896143761,2332.0,1.49,400.0
003550,LG,60100,60500,59400,60300,327665,19705516400,66846.0,11.83,0.9018932041558209,5097.0,1.66,1000.0
034220,LG디스플레이,28700,28750,28150,28450,1325286,37615023650,29655.0,23.89,0.9594919701568032,1191.0,0.0,0.0
001120,LG상사,29150,29150,28250,28250,254711,7258199650,38076.0,22.67,0.7419150186469167,1246.0,1.06,300.0
068870,LG생명과학,34100,34550,33900,33900,82941,2828816150,15074.0,174.8,2.2490049091150324,194.0,0.0,0.0
068875,LG생명과학우,0,0,0,20750,0,0,0.0,0.0,0.0,0.0,0.0,0.0
051900,LG생활건강,496000,498000,485000,492500,38260,18829648500,79516.0,23.11,6.193519425335781,21311.0,0.76,3750.0
051905,LG생활건강우,232500,232500,229000,232500,279,64389000,0.0,0.0,0.0,0.0,1.63,3800.0
003555,LG우,33200,33400,32950,32950,34861,1151440200,0.0,0.0,0.0,0.0,3.19,1050.0
032640,LG유플러스,10100,10100,9980,10000,1000580,10019040380,9209.0,15.63,1.086437181018569,640.0,1.5,150.0
011070,LG이노텍,119000,122500,119000,121000,196632,23804132500,65287.0,157.0,1.854075083860493,771.0,0.0,0.0
066570,LG전자,68900,69800,68700,69300,600229,41524935200,64917.0,70.94,1.0676084461697244,977.0,0.29,200.0
066575,LG전자우,30300,30700,30300,30550,54513,1666630650,0.0,0.0,0.0,0.0,0.82,250.0
108670,LG하우시스,184500,184500,180000,182500,25275,4584548000,77836.0,24.89,2.344968306760368,7333.0,0.99,1800.0
108675,LG하우시스우,81200,82000,80500,81400,3816,309909200,0.0,0.0,0.0,0.0,2.27,1850.0
051910,LG화학,267000,268500,265000,267500,136525,36491132500,156928.0,15.54,1.7042389164935512,17211.0,1.5,4000.0
051915,LG화학우,162000,164000,161500,162500,19810,3218756000,0.0,0.0,0.0,0.0,2.49,4050.0
002550,LIG손해보험,29550,30000,29200,30000,280656,8294355100,24462.0,13.16,1.2262386558744174,2280.0,1.67,500.0
006260,LS,74800,74800,73100,73400,182720,13465490200,75016.0,16.56,0.978083008958089,4430.0,1.7,1250.0
000680,LS네트웍스,4385,4410,4370,4400,12906,56576600,9644.0,0.0,0.0,0.0,0.23,10.0
