종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
179900,유티아이,KOSDAQ,벤처기업부,38350,50,0.13,39200,39200,37500,97310,3711818850,624602423250,16286895
087010,펩트론,KOSDAQ,기술성장기업부,30250,-200,-0.66,30000,30950,29400,273266,8294754500,623962303250,20626853
281820,케이씨텍,KOSPI,,29900,1400,4.91,28350,30600,28350,138583,4141504150,623760524400,20861556
090460,비에이치,KOSPI,,18040,-540,-2.91,18590,18670,17750,623952,11324457320,621737397160,34464379
064960,SNT모티브,KOSPI,,42500,450,1.07,42050,42650,42000,17254,731242350,621483280000,14623136
161000,애경케미칼,KOSPI,,12750,-300,-2.30,13110,13210,12570,386607,4960814290,620271039750,48648709
136510,스마트솔루션즈,KOSDAQ,관리종목(소속부없음),11600,0,0.00,0,0,0,0,0,619149095200,53374922
229640,LS에코에너지,KOSPI,,20100,0,0.00,19850,20300,19740,507049,10122181990,615560067900,30624879
042000,카페24,KOSDAQ,기술성장기업부,27200,-100,-0.37,27250,28650,26100,764954,20994155550,611923785600,22497198
210980,SK디앤디,KOSPI,,27450,-1800,-6.15,29300,29400,27050,586603,16370495550,609120001800,22190164
001530,DI동일,KOSPI,,24600,-650,-2.57,25050,25200,24050,145838,3587327350,608570617800,24738643
170900,동아에스티,KOSPI,,70100,3300,4.94,67000,70400,67000,66165,4590621300,603909046500,8614965
084850,아이티엠반도체,KOSDAQ GLOBAL,벤처기업부,26600,250,0.95,26800,27000,25650,39755,1052918400,603366044400,22682934
049770,동원F&B,KOSPI,,31250,100,0.32,31500,31550,30950,8712,271605100,602988125000,19295620
319660,피에스케이,KOSDAQ GLOBAL,우량기업부,20800,-100,-0.48,21000,21150,20450,136301,2827820200,602507651200,28966714
025980,아난티,KOSDAQ,우량기업부,6590,-10,-0.15,6670,6690,6540,434261,2871341900,597248260020,90629478
046890,서울반도체,KOSDAQ GLOBAL,우량기업부,10210,200,2.00,10110,10260,10040,225566,2292960640,595298134000,58305400
